的	dik
危	fri
床	cof
罪	zxi
食	sik
食	dru
食	ji
食	juk
食	zi
板	bah
校	gau
校	nau
某	mru
妙	miu
休	jru
珠	zy
列	lit
透	tru
春	cxh
委	wri
移	ji
呵	no
偷	tru
牙	fa
宗	zuf
善	sih
浪	lof
羽	jy
肩	gih
智	zi
弱	jxk
柳	lru
硬	faf
洛	lok
范	vah
混	wrh
玄	jyh
徒	tou
配	pui
端	dyh
娜	ha
娜	ho
哭	nuk
凝	jif
率	lxt
率	sxt
避	bei
拳	kyh
采	coi
托	tok
森	srm
哼	nrf
惜	sek
惜	sik
束	cuk
熟	suk
熟	drk
抗	kof
邪	ce
喊	nam
梅	mui
仇	kru
仇	sru
奔	brh
亡	mof
富	vu
限	nah
吓	na
吓	nak
养	jxf
省	saf
省	sif
占	zim
暴	bou
暴	buk
域	wik
瞧	ciu
摸	mok
摸	mo
席	zik
伊	ji
店	dim
敬	gif
谷	guk
谷	juk
仿	vof
借	ze
丈	zxf
姓	sif
挑	tiu
祖	zou
套	tou
困	qrh
冒	mou
夏	na
叔	suk
架	ga
尖	zim
丁	dif
牛	fru
牛	pei
扑	bok
彩	coi
降	gof
降	nof
燕	jih
卷	gyh
臂	bei
桌	zxk
桌	cxk
嘿	nei
幽	jru
演	jih
巧	nau
巧	kiu
亦	jik
尤	jru
偏	pih
替	tri
箭	zih
拜	bai
腿	txi
婆	po
婆	sik
唯	wri
班	bah
吉	grt
狼	lof
洋	jxf
杯	bui
袋	doi
策	cak
腰	jiu
殿	dih
番	vah
番	puh
杜	dou
盟	mrf
豪	nou
趣	cxi
午	f
户	wu
沈	crm
沈	srm
登	drf
懂	duf
含	nrm
互	wu
律	lxt
厚	nru
聚	zxi
尸	si
迅	sxh
搞	gau
嘛	ma
稍	sau
介	gai
宣	syh
抽	cru
躲	do
舒	sy
供	guf
傲	fou
勇	juf
犯	vah
益	jik
甲	gap
街	gai
孤	gu
碰	puf
塔	tap
批	pri
碎	sxi
撞	zof
阻	zo
操	cou
概	koi
曲	kuk
婚	vrh
凶	nuf
爸	ba
奈	hoi
逐	zuk
距	kxi
附	vu
歌	go
哦	o
哦	fo
咬	fau
塞	coi
塞	srk
慕	mou
孔	nuf
牌	pai
陪	pui
折	zit
折	sit
窗	cxf
逼	bik
材	coi
遍	pih
芒	mof
征	zif
瞪	drf
瞪	cif
抵	dri
郎	lof
乃	hai
幻	wah
臣	srh
判	puh
翼	jik
欣	jrh
妻	cri
私	si
壁	bik
累	lxi
宋	suf
狗	gru
悄	ciu
吟	jrm
吟	frm
伏	vuk
伏	buk
瞬	sxh
舍	se
挺	tif
岳	fok
悲	bei
圈	gyh
圈	nyh
旋	syh
瑞	sxi
惑	wak
竹	zuk
蛋	dah
艾	fai
扎	zat
莉	lei
迫	bik
迫	bak
盛	sif
企	kei
俊	zxh
努	hou
逸	jrt
菲	vei
抖	dru
油	jru
唇	sxh
幕	mok
康	nof
吐	tou
汗	noh
昨	zok
茶	ca
恢	vui
裂	lit
育	juk
央	jxf
央	jaf
吼	nau
吼	nru
爆	bau
鼓	gu
陷	nam
曼	mah
泰	tai
灰	vui
灰	viu
赤	cek
赤	cik
缺	kyt
伴	buh
猜	cai
浮	vru
昏	vrh
融	juf
妮	hei
菜	coi
例	lri
盯	dif
盯	def
涌	cuf
涌	juf
遭	zou
洲	zru
拼	pif
拼	pef
勒	lrk
勒	lak
博	bok
蛇	se
港	gof
貌	mau
拔	brt
洗	sri
剩	sif
剩	zif
扶	vu
爵	zxk
晶	zif
佩	pui
鼻	bei
御	jy
均	qrh
浩	nou
奶	hai
怨	jyh
忠	zuf
洪	nuf
糊	wu
固	gu
坦	tah
佳	gai
爹	de
蒂	dri
辛	srh
吹	cxi
仰	jxf
仰	fof
迪	dik
晃	vof
庭	tif
梁	lxf
仔	zri
仔	zi
郭	qok
插	cap
召	ziu
侍	si
慌	vof
敏	mrh
伍	f
朗	lof
掩	jim
隔	gak
傅	vu
疾	zrt
摩	mo
池	ci
氏	si
振	zrh
途	tou
童	tuf
朵	dx
朵	do
傻	so
粗	cou
旦	dah
悉	sik
旅	lxi
赫	nrk
赫	nak
穴	jyt
延	jih
皆	gai
琴	krm
戴	dai
仁	jrh
宜	ji
甘	grm
炸	za
戒	gai
琳	lrm
吻	mrh
季	qri
疼	tuf
疼	trf
桑	sof
侯	nru
堡	bou
珍	zrh
符	vu
芳	vof
嗯	f
羞	sru
典	dih
劫	gip
旗	kei
堆	dxi
霸	ba
廷	tif
促	cuk
耐	hoi
荒	vof
序	zxi
躺	tof
粉	vrh
慧	wri
餐	cah
喃	ham
踏	dap
孟	maf
匆	cuf
漫	mah
乘	sif
拒	kxi
奉	vuf
漂	piu
愈	jy
倍	pui
拖	to
怔	zif
映	jif
奴	hou
愣	lif
健	gih
扭	hru
核	nrt
核	wrt
享	nxf
尾	mei
碧	bik
瓦	fa
尺	cek
票	piu
川	cyh
彼	bei
焰	jim
醉	zxi
述	sxt
痕	nrh
晨	srh
薄	bok
胖	buh
恭	guf
倾	kif
磨	mo
隆	luf
岸	foh
括	kut
狐	wu
吞	trh
丫	a
忌	gei
悟	f
滑	wat
椅	ji
垂	sxi
辰	srh
曹	cou
霍	vok
痴	ci
款	vuh
督	duk
乖	qai
欺	nei
聊	liu
悠	jru
估	gu
爬	pa
匹	prt
截	zit
牢	lou
唱	cxf
唉	ai
嘻	nei
董	duf
惹	je
焦	ziu
援	wuh
慰	wri
措	cou
悔	vui
革	gak
陵	lif
姿	zi
扯	ce
泉	cyh
予	jy
筑	zuk
勾	fru
勾	ru
勾	gru
授	sru
罩	zau
埋	mai
熊	nuf
潮	ciu
漠	mok
殊	sy
哀	oi
掠	lxk
肚	tou
炮	pau
俱	kxi
邦	bof
袖	zru
泛	vah
沿	jyh
沿	foh
卓	cxk
卓	zxk
航	nof
零	lif
盈	jif
末	mut
姆	mou
屈	wrt
眸	mru
冥	mif
刃	jrh
炎	jim
姬	gei
堪	nrm
劈	pek
劈	pik
墨	mrk
培	pui
霜	sxf
斜	je
斜	ce
甜	tim
撒	sat
耀	jiu
脆	cxi
袍	pou
霞	na
宏	wrf
滴	dik
牧	muk
耶	je
膀	bof
寂	zik
媚	mei
枝	zi
祝	zuk
趁	crh
舌	sit
抹	mat
抹	mut
玲	lif
染	jim
跪	qri
擦	cat
翔	cxf
埃	ai
埃	oi
盾	txh
溜	liu
溜	lru
腹	vuk
渡	dou
燃	jih
眨	zam
撤	cit
敲	nau
侵	crm
喘	cyh
柄	bef
柄	bif
嫁	ga
岩	fam
嘉	ga
拾	srp
泥	hri
版	bah
搜	sru
冬	duf
俗	zuk
僧	srf
僧	zrf
喂	wri
搭	dap
暖	hyh
茫	mof
返	vah
莎	sa
莎	so
宾	brh
冠	guh
析	sik
郁	juk
允	wrh
繁	vah
葛	got
祥	cxf
瘦	sru
仲	zuf
仗	zxf
弓	guf
豫	jy
幅	vuk
瓶	pif
瓶	pef
愧	qri
柱	cy
柱	zxi
翠	cxi
勉	mih
矮	ri
矮	fri
宿	suk
宿	sru
偶	fru
刑	jif
黎	lri
煞	sat
姊	zi
衫	sam
昂	fof
恰	nrp
咐	vu
琪	kei
衡	nrf
捉	zuk
袁	jyh
亭	tif
娃	wa
慈	ci
晴	cif
咒	zru
羊	jxf
薇	mei
覆	vuk
魏	fri
耗	nou
寸	cyh
跌	dit
俄	fo
蝶	dip
箱	sxf
弗	vrt
弗	vit
扮	bah
障	zxf
怖	bou
屁	pei
歉	nim
歉	nip
砍	nrm
踢	tek
寺	zi
爪	zau
棋	kei
捕	bou
扣	kru
扇	sih
臭	cru
篇	pih
泄	sit
辱	juk
裁	coi
仆	buk
仆	vu
仆	puk
穆	muk
昆	qrh
丑	cru
愁	sru
勤	krh
崇	suf
井	zef
帕	pak
昌	cxf
鞭	bih
叛	buh
僵	gxf
雕	diu
爽	sof
跨	qa
矛	mau
涉	sip
屠	tou
麽	mo
乾	kih
乾	goh
涂	tou
奸	gah
梯	tri
邀	jiu
慎	srh
夕	zik
婉	jyh
吩	vrh
摔	sxt
魄	pak
酷	nuk
巡	cxh
祭	zri
崖	fai
誓	sri
描	miu
奏	zru
肖	ciu
曰	jxk
曰	jyt
霄	siu
糟	zou
麟	lxh
枚	mui
肌	gei
欠	nim
稀	nei
液	jik
笨	brh
勃	but
毅	fri
湿	srp
桃	tou
疲	pei
荷	no
汽	nei
姜	gxf
摄	sip
哎	ai
植	zik
脖	but
催	cxi
虹	nuf
巫	mou
屏	pif
屏	bif
咽	jit
咽	jih
蓉	juf
愕	fok
肥	vei
凄	cri
搬	buh
扔	jif
瑟	srt
杖	zxf
芙	vu
畏	wri
酸	syh
割	got
披	pei
滋	zi
秒	miu
戈	qo
捷	zit
播	bo
逆	jik
逆	fak
咳	krt
申	srh
卑	bei
寇	kru
魅	mei
惠	wri
宛	jyh
喉	nru
幼	jru
卿	nif
瓜	qa
氛	vrh
腕	wuh
污	wu
碗	wuh
妃	vei
筋	grh
甩	lrt
寨	zai
蕾	lxi
兼	gim
婷	tif
捏	hip
妥	to
拓	tok
拓	tap
斥	cik
吵	cau
璃	lei
夸	qa
倩	sih
薛	sit
崔	cxi
尉	wri
恒	nrf
後	nru
後	qrh
宴	jih
晌	nxf
艘	sru
辣	lat
哇	wa
斤	grh
挨	ai
挨	fai
挨	fah
豹	pau
雁	fah
吾	f
挖	wat
挖	wa
彭	paf
役	jik
遮	ze
舟	zru
佣	juf
陶	tou
患	wah
砸	zap
砸	zak
愚	jy
腐	vu
腐
牲	saf
牲	srf
恍	vof
俏	ciu
鼠	sy
狄	dik
妄	mof
丘	jru
抑	jik
呈	cif
尹	wrh
坡	po
坡	bo
契	kri
契	sit
契	kit
嫌	jim
津	zxh
售	sru
棒	paf
郡	qrh
撕	si
疆	gxf
咕	gu
咕	ku
歇	nit
漏	lru
脾	pei
脾	bei
嫣	jih
盼	pah
蜜	mrt
姨	ji
珊	sah
裹	qo
汪	wof
靖	zif
殷	jrh
殷	jih
淫	jrm
柯	o
巾	grh
娶	cxi
矩	gxi
棍	qrh
伐	vrt
添	tim
陛	bri
嘲	zau
捧	puf
宅	zak
鼎	dif
乏	vrt
黛	doi
掏	tou
削	sxk
灌	guh
旨	zi
刷	cat
刷	sat
泡	pau
泡	bou
泡	pou
俞	jy
盒	nap
盒	nrp
嚷	jxf
沾	zim
漆	crt
蠢	cxh
甫	pou
甫	vu
膝	srt
墓	mou
逢	vuf
嫩	hyh
雀	zxk
枯	vu
陌	mrk
屑	sit
陡	dru
挽	wrh
挽	wah
涵	nam
署	cy
沃	juk
叉	ca
搏	bok
逝	sri
趟	tof
鞋	nai
赴	vu
砰	pif
遂	sxi
泣	jrp
慨	koi
籍	zik
擒	krm
苗	miu
浴	juk
疏	so
尬	gai
逗	dru
豆	dru
孝	nau
芬	vrh
湘	sxf
晰	sik
廉	lim
馨	nif
械	nai
吊	diu
串	cyh
裸	lo
哲	zit
渴	not
柏	bak
柏	pak
芸	wrh
拱	guf
妨	vof
揉	jru
寄	gei
宙	zru
宰	zoi
媒	mui
眯	mei
崩	brf
斧	vu
惶	wof
嘶	si
嘶	sri
歪	wai
歪	me
涯	fai
耍	sa
遵	zyh
遵	zxh
冤	jyh
悍	noh
耿	grf
翅	ci
循	cxh
猴	nru
拂	vrt
裙	qrh
蓬	vuf
蓬	puf
芝	zi
昭	ziu
昭	ciu
倏	suk
肆	sei
肆	si
帽	mou
叮	dif
拐	qai
儒	jy
嫂	sou
瞥	pit
廊	lof
辨	bih
鄙	pei
哩	li
哩	le
愉	jy
摘	zak
淋	lrm
俯	vu
劣	lyt
玫	mui
吁	nxi
押	at
押	jap
昔	sik
攀	pah
乳	jy
鹿	luk
潘	puh
藤	trf
躬	guf
蔡	coi
粒	lrp
粒	hrp
揭	kit
嗓	sof
啪	pak
啪	bak
翎	lif
撼	nrm
遣	nih
囊	hof
眠	mih
掀	nih
旺	wof
弘	wrf
戚	cik
逍	siu
坤	qrh
憾	nrm
租	zou
咯	gak
咯	lok
卜	bak
卜	buk
卜	bok
凰	wof
哄	nuf
匪	vei
膛	tof
淑	suk
忖	cyh
堵	dou
夷	ji
柴	cai
撇	pit
歹	dai
辜	gu
沐	muk
萍	pif
敖	fou
拆	cak
磊	lxi
罕	noh
瞳	tuf
杆	goh
葬	zof
胞	bau
黯	rm
朕	zrm
兆	siu
擅	sih
陀	to
蜂	vuf
咦	ji
惟	wri
竭	kit
腔	nof
裴	pui
玻	bo
璇	syh
溪	kri
朴	pok
衷	cuf
帘	lim
魁	vui
侄	zrt
茵	jrh
盆	puh
弦	jih
弦	jyh
兮	nri
翁	juf
斌	brh
坑	naf
踩	cai
瞎	nrt
躁	cou
蓄	cuk
丸	jyh
丐	koi
矣	ji
兔	tou
隙	qik
叠	dap
瞄	miu
倚	ji
舅	kru
祈	kei
怡	ji
肢	zi
於	jy
雯	mrh
斑	bah
蹲	dxh
蹲	cyh
棠	tof
胎	toi
妾	cip
篷	puf
腥	sef
腥	sif
楞	lrf
楞	lif
澳	ou
霆	tif
桂	qri
艇	tef
哨	sau
寡	qa
挪	ho
翰	noh
咧	le
咧	lit
怯	nip
瑰	qri
寞	mok
彷	pof
彷	vof
佐	zo
卒	zxt
栽	zoi
塌	tap
蹄	tri
棵	po
棵	vo
廖	liu
呻	srh
裳	sxf
睹	dou
溢	jrt
狡	gau
倘	tof
倘	sxf
胳	gak
婢	pei
枕	zrm
妒	dou
噬	sri
呃	fak
呃	ak
呃	rk
喔	o
狸	lei
泊	bok
泊	pak
芷	zi
咪	mri
咪	mi
刮	qat
咖	ga
咖	ka
恕	sy
煌	wof
蚩	ci
逛	qaf
暇	na
巷	nof
填	tih
膊	bok
昧	mui
昧	mei
乞	nrt
叱	cik
姚	jiu
摧	cxi
遁	dxh
焚	vrh
糕	gou
倦	gyh
啡	vei
啡	ve
啥	sa
乙	jyt
郝	gok
郝	kok
履	lxi
履	lei
匕	bei
茜	sri
茜	sih
嘟	dou
汝	jy
耽	dam
旭	juk
浸	zrm
畜	cuk
佑	jru
灼	cxk
灼	zxk
嗤	ci
峻	zxh
菊	guk
彤	tuf
焉	jih
敦	dxh
筒	tuf
棉	mih
霉	mui
衰	sxi
烤	nau
麒	kei
犬	nyh
庸	juf
姥	lou
桶	tuf
榜	bof
榜	prf
茅	mau
症	zif
乍	za
翩	pih
棺	guh
潭	tam
歆	jrm
抄	cau
枉	wof
趴	pa
嗔	zrh
嗔	crh
淮	wai
笛	dek
剪	zih
囚	cru
蔽	bri
辟	pik
碌	luk
塑	sok
塑	sou
刊	noh
捂	wu
桐	tuf
霎	srp
霎	sap
帆	vah
矢	ci
函	nam
址	zi
弩	hou
邱	jru
孽	jip
藉	zik
藉	ze
兀	frt
雍	juf
巍	fri
匠	zxf
冉	jim
蛛	zy
瑜	jy
妍	jih
衍	jih
衍	nih
邵	siu
朽	hru
噗	pok
苟	gru
胃	wri
暮	mou
萝	lo
渠	kxi
琉	lru
熙	nei
噢	ou
噢	o
雇	gu
碑	bei
俺	jim
喀	ka
喀	krk
喀	nak
斐	vei
阮	jyh
嘎	ga
吱	zi
杏	nrf
桓	wuh
昊	nou
擎	kif
磁	ci
沸	vak
沸	vri
衙	fa
匙	ci
匙	si
鞘	ciu
猿	jyh
徽	vri
裕	jy
株	zy
蜀	suk
巢	cau
梭	so
兜	dru
敞	cof
骷	vu
娟	gyh
茂	mru
窄	zak
菱	lif
絮	sxi
絮	sx
坎	nrm
琦	kei
拘	kxi
梵	vah
脊	zek
澡	cou
窟	vrt
姻	jrh
捐	gyh
孕	jrh
滔	tou
挫	co
伺	zi
扁	bih
扁	pih
墅	sxi
侮	mou
垃	lap
郊	gau
眶	qaf
眶	nof
莽	mof
俘	vu
卦	qa
喧	nyh
圾	sap
澄	cif
妞	hru
彪	biu
淳	sxh
唔	m
唔	cxt
嗡	juf
嗡	frp
歧	kei
聘	pif
哮	nau
嗦	so
嗦	sok
虞	jy
熬	fou
熬	fau
迭	dip
迭	dit
梳	so
虐	jxk
掘	qrt
忿	vrh
畔	buh
樊	vah
倪	fri
襄	sxf
禽	krm
勿	mrt
嫉	zrt
杭	nof
嚎	nou
菁	cif
菁	zif
眩	jyh
栗	lxt
蹦	baf
蹦	brf
喻	jy
盲	maf
茹	jy
佘	se
蔓	mah
陋	lru
堤	tri
彬	brh
酬	cru
渺	miu
淘	tou
卸	se
蛟	gau
朦	muf
帖	tip
菩	pou
坊	vof
襟	krm
汁	zrp
僻	pik
盔	qri
峨	fo
疚	gru
粹	sxi
醋	cou
秩	dit
沫	mut
肺	vri
咆	pau
嘀	dik
弧	wu
迦	ga
拚	pif
拚	puh
妓	gei
蹈	dou
幢	tof
幢	cof
湛	zam
亨	nrf
媳	sik
奕	jik
吏	lei
磕	nrp
皓	nou
婿	sri
跋	brt
罡	gof
扳	pah
扳	bah
犀	sri
稿	gou
咚	duf
耕	gaf
耕	grf
奢	ce
祺	kei
泳	wif
拭	sik
戟	gik
萱	nyh
脂	zi
宵	siu
蔑	mit
嵌	nrm
戮	luk
叩	kru
迸	bif
淹	jim
丞	sif
喇	la
哧	ci
叨	dou
叨	tou
瓷	ci
炯	qif
揪	zru
揪	cru
沛	pui
蝠	vuk
逞	cif
疫	jik
眷	gyh
懈	nai
嗅	cru
豁	kut
棚	paf
煤	mui
框	qaf
殖	zik
券	gyh
券	nyh
蒸	zif
熄	sik
疤	ba
蒲	pou
稚	zi
冀	kei
稻	dou
葡	pou
侃	noh
捆	qrh
澈	cit
毯	tah
傍	pof
傍	bof
旬	cxh
梧	f
寓	jy
粘	him
粘	zim
薪	srh
阱	zif
撩	liu
舔	tim
舜	sxh
梨	lei
猾	wat
抿	mrh
禹	jy
啼	tri
炭	tah
掐	nap
夭	jiu
榻	tap
哉	zoi
逮	dri
旱	noh
甄	jrh
煮	zy
憋	bit
蕊	jxi
稽	kri
搓	co
搓	cai
瞅	cru
揍	zru
氓	mof
氓	mrh
瑾	grh
肝	goh
踉	lxf
霓	fri
淌	tof
霹	pik
茨	ci
刁	diu
膜	mok
膜	mou
擂	lxi
厥	kyt
厄	ak
厄	rk
扛	gof
扛	kof
惕	tik
瞟	piu
凸	drt
肘	zau
肘	zru
媛	wuh
浙	zit
奎	qri
奎	vui
熏	vrh
沁	srm
笙	saf
笙	srf
岔	ca
沮	zxi
酥	sou
冶	je
嗽	sru
舵	to
燥	cou
拙	zyt
瓣	bah
瓣	vah
吭	naf
吭	nrf
吭	nof
蝴	wu
罐	guh
糖	tof
蹙	cuk
琢	dxk
漾	jxf
怠	doi
怠	toi
嗷	fou
涅	hip
窒	zrt
槐	wai
凳	drf
臀	tyh
懊	ou
逾	jy
唬	vu
葫	wu
咸	nam
萄	tou
梢	sau
嗜	si
戳	cxk
猩	sif
跺	do
蟒	mof
詹	zim
晒	sai
浦	pou
黝	jru
筷	vai
霖	lrm
炫	jyh
凹	hrp
伶	lif
揣	cyh
揣	cxi
窘	qrh
悸	qri
垮	qa
嚼	ziu
嚼	zxk
尿	hiu
沼	ziu
塘	tof
肋	lrk
肋	lak
簇	cuk
哆	do
兢	gif
鞠	guk
匿	hik
匿	hei
膨	paf
蔚	wri
楠	ham
剔	tik
靴	nx
萌	mrf
棘	gik
娥	fo
沌	dxh
砂	sa
脯	pou
脯	vu
螺	lo
瞻	zim
瀑	buk
璧	bik
漓	lei
踱	dok
敷	vu
偎	wui
噩	fok
搔	sou
晏	fah
晏	ah
匣	nap
倔	qrt
蹬	drf
苑	jyh
彰	zxf
拇	mou
寥	liu
弊	bri
坪	pif
敝	bri
裘	kru
呸	pei
憎	zrf
拎	lif
唾	tx
唾	to
瑛	jif
叭	ba
叭	pa
揖	jrp
蜘	zi
秉	bif
壤	jxf
惚	vrt
牟	mru
牟	muk
祁	kei
蜥	sik
炒	cau
婕	zit
甸	dih
碟	dip
叟	sru
猝	cyt
斟	zrm
啤	be
啤	bi
啤	pe
髓	sxi
寰	wah
峙	ci
峙	si
赦	se
噪	cou
