的	dik
仍	ji~
跑	pau
否	fru
君	#rn
妹	mui
隐	jrn
母	mou
科	fo
凌	li~
选	svn
梦	mu~
刘	lru
寒	hon
局	guk
冰	bi~
禁	grm
境	gi~
掉	diu
究	gru
余	jv
查	ca
激	gik
号	hou
防	fo~
费	fri
恐	hu~
楼	lru
导	dou
肯	hr~
故	gu
游	jru
球	kru
树	sv
叹	tan
救	gru
施	si
帝	dri
佛	frt
简	gan
料	liu
际	zri
顾	gu
齐	cri
抓	za
抓	au
玩	wan
玩	wun
猛	ma~
份	frn
米	mri
仅	grn
具	g!i
具	k!i
胜	si~
治	zi
章	z@~
巨	g!i
险	him
守	sru
散	san
须	s!i
须	sou
眉	mei
抱	bou
抱	pou
权	kvn
试	si
独	duk
震	zrn
索	sak
索	sok
证	zi~
礼	lri
助	zo
圣	si~
股	gu
跳	tiu
波	bo
负	fu
虎	fu
练	lin
姑	gu
唐	to~
室	srt
伙	fo
沙	sa
妈	ma
阴	jrm
称	ci~
投	tru
柔	jru
扬	j@~
规	$ri
毫	hou
温	wrn
较	gau
毒	duk
耳	ji
座	zo
射	se
厉	lri
层	cr~
副	fu
担	dam
参	cam
参	sam
置	zi
历	lik
初	co
卡	ka
卡	kat
承	si~
质	zrt
属	suk
渐	zim
蓝	lam
船	svn
逃	tou
皮	pei
药	j@k
呀	a
靠	kau
充	cu~
标	biu
坚	gin
贵	#ri
共	gu~
赵	ziu
维	wri
陆	luk
块	fai
吸	krp
刺	ci
堂	to~
醒	se~
醒	si~
考	hau
松	cu~
松	su~
排	pai
划	wa
划	wak
换	wun
河	ho
环	wan
土	tou
志	zi
责	zak
致	zi
压	at
压	~at
素	sou
湖	wu
睡	s!i
苏	sou
京	gi~
效	hau
朋	pr~
宇	jv
顺	s!n
紫	zi
伸	srn
赛	coi
超	ciu
忘	mo~
幸	hr~
遇	jv
孙	svn
顶	de~
顶	di~
拍	pak
警	gi~
按	on
察	cat
广	#o~
藏	co~
藏	zo~
胡	wu
秘	bei
凡	fan
型	ji~
尚	s@~
恩	jrn
脱	tvt
营	ji~
增	zr~
价	ga
史	si
节	zit
秋	cru
翻	fan
迷	mri
州	zru
付	fu
项	ho~
萧	siu
状	zo~
尼	nei
雅	~a
凤	fu~
秦	c!n
草	cou
败	bai
著	zv
咱	za
朱	zv
呆	~oi
呆	dai
封	fu~
普	pou
景	gi~
专	zvn
味	mei
舞	mou
弄	nu~
虚	h!i
毕	brt
讲	go~
福	fuk
纪	gei
握	ak
习	zap
社	se
永	wi~
寻	crm
默	mrk
洞	du~
控	hu~
骑	gei
骑	kei
钟	zu~
徐	c!i
辈	bui
假	ga
病	be~
病	bi~
胸	hu~
欲	juk
伯	bak
峰	fu~
肉	juk
岁	s!i
医	ji
野	je
值	zik
职	zik
尊	zvn
尊	z!n
恨	hrn
狠	hrn
田	tin
魂	wrn
毛	mou
免	min
短	dvn
秀	sru
麻	ma
坏	wai
印	jrn
良	l@~
迎	ji~
枪	c@~
弹	dan
弹	tan
骨	#rt
探	tam
啦	la
研	jin
妖	jiu
劲	gi~
临	lrm
宁	ni~
屋	uk
案	on
杰	git
欧	ru
饭	fan
村	cvn
升	si~
抬	toi
蒙	mu~
略	l@k
丹	dan
源	jvn
纷	frn
雄	hu~
烟	jin
危	~ri
优	jru
写	se
床	co~
罪	z!i
网	mo~
食	sit
板	ban
校	gau
校	hau
某	mru
妙	miu
休	jru
珠	zv
列	lit
盘	pun
透	tru
春	c!n
委	wri
移	ji
呵	ho
偷	tru
奥	ou
吴	~
验	jim
牙	~a
泪	l!i
宗	zu~
摆	bai
善	sin
浪	lo~
羽	jv
肩	gin
智	zi
拥	ju~
弱	j@k
柳	lru
硬	~a~
纳	nap
洛	lok
范	fan
混	wrn
玄	jvn
买	mai
济	zri
徒	tou
烦	fan
配	pui
适	sik
端	dvn
娜	na
娜	no
哭	huk
凝	ji~
镇	zrn
率	l!t
率	s!t
避	bei
拳	kvn
创	co~
采	coi
晓	hiu
托	tok
森	srm
哼	hr~
惜	sik
惜	sek
束	cuk
熟	suk
归	#ri
抗	ko~
邪	ce
庄	zo~
喊	ham
梅	mui
韩	hon
罢	ba
仇	sru
仇	kru
奔	brn
亡	mo~
富	fu
限	han
吓	hak
养	j@~
厅	te~
贝	bui
娇	giu
省	sa~
省	si~
占	zim
横	wa~
横	zv
飘	piu
戏	hei
画	wa
画	wak
暴	bou
灭	mit
域	wik
瞧	ciu
软	jvn
摸	mo
摸	mok
席	zek
席	zik
稳	wrn
绿	luk
伊	ji
讨	tou
释	sik
获	wai
获	wok
店	dim
敬	gi~
谷	guk
仿	fo~
借	ze
丈	z@~
姓	si~
挑	tiu
祖	zou
套	tou
困	$rn
墙	c@~
冒	mou
夏	ha
叔	suk
架	ga
鱼	jv
织	zik
尖	zim
丁	di~
牛	~ru
旧	gru
扑	bok
扑	pok
彩	coi
降	go~
降	ho~
燕	jin
卷	gvn
臂	bei
桌	z@k
卖	mai
嘿	hei
骂	ma
鲜	sin
幽	jru
训	frn
演	jin
闭	bri
巧	hau
巧	kiu
奋	frn
杂	zap
亦	jik
预	jv
尤	jru
偏	pin
替	tri
箭	zin
残	can
拜	bai
腿	t!i
婆	po
唯	wri
迹	zik
班	ban
诸	zv
吉	grt
诺	nok
狼	lo~
洋	j@~
虑	l!i
杯	bui
袋	doi
策	cak
腰	jiu
殿	din
番	fan
番	pun
测	cak
测	crk
输	sv
杜	dou
惨	cam
盟	mr~
鲁	lou
豪	hou
积	zik
趣	c!i
圆	jvn
午	~
户	wu
执	zrp
妇	fu
沈	srm
登	dr~
懂	du~
含	hrm
犹	jru
互	wu
律	l!t
锋	fu~
抢	c@~
厚	hru
聚	z!i
尸	si
闹	nau
纵	zu~
凭	pr~
迅	s!n
财	coi
搞	gau
嘛	ma
侧	zrk
农	nu~
稍	sau
介	gai
宣	svn
抽	cru
颜	~an
躲	do
舒	sv
供	gu~
傲	~ou
勇	ju~
阶	gai
犯	fan
益	jik
尘	crn
甲	gap
皱	zru
街	gai
孤	gu
协	hip
兽	sru
碰	pu~
伟	wri
塔	tap
批	pri
盖	goi
盖	koi
监	gam
劳	lou
碎	s!i
撞	zo~
阻	zo
操	cou
概	koi
曲	kuk
胆	dam
轮	l!n
婚	frn
迟	ci
凶	hu~
党	do~
爸	ba
剧	kek
弃	hei
奈	noi
逐	zuk
疯	fu~
距	k!i
附	fu
谓	wri
歌	go
哦	~o
哦	o
构	gru
构	kru
咬	~au
误	~
塞	coi
塞	srk
慕	mou
笔	brt
孔	hu~
牌	pai
陪	pui
折	sit
折	zip
折	zit
窗	c@~
逼	bik
材	coi
挡	do~
岛	dou
择	zak
袭	zap
挂	#a
伦	l!n
遍	pin
芒	mo~
征	zi~
触	zuk
瞪	dr~
荡	do~
抵	dri
郎	lo~
滚	#rn
滚	$rn
怜	lin
乃	nai
幻	wan
臣	srn
判	pun
烧	siu
翼	jik
腾	tr~
欣	jrn
灯	dr~
库	fu
妻	cri
私	si
荣	wi~
夺	dvt
园	jvn
壁	bik
贼	cak
颗	fo
累	l!i
宋	su~
狗	gru
悄	ciu
颤	zin
吟	jrm
伏	buk
伏	fuk
瞬	s!n
舍	se
补	bou
扫	sou
跃	j@k
艺	~ri
挺	ti~
岳	~ok
悲	bei
圈	gvn
圈	hvn
旋	svn
瑞	s!i
惑	wak
竹	zuk
蛋	dan
艾	~ai
扎	zat
莉	lei
损	svn
迫	bik
盛	si~
企	kei
缘	jvn
纯	s!n
俊	z!n
努	nou
逸	jrt
菲	fei
抖	dru
乌	wu
油	jru
炼	lin
唇	s!n
幕	mok
康	ho~
吐	tou
汗	hon
馆	gun
昨	zok
赞	zan
茶	ca
苍	co~
恢	fui
裂	lit
育	juk
央	j@~
闲	han
吼	hau
吼	hru
爆	bau
鼓	gu
乡	h@~
陷	ham
曼	man
泰	tai
踪	zu~
灰	fui
赤	cek
赤	cik
萨	sat
缺	kvt
宽	fun
岂	hei
伴	bun
猜	cai
额	~ak
遗	wri
谋	mru
浮	fru
昏	frn
融	ju~
妮	nei
菜	coi
例	lri
盯	de~
盯	di~
涌	cu~
涌	ju~
遭	zou
洲	zru
潜	cim
拼	pi~
勒	lrk
博	bok
蛇	se
港	go~
貌	mau
绍	siu
拔	brt
洗	sri
彻	cit
针	zrm
纸	zi
莱	loi
县	jvn
剩	si~
扶	fu
愤	frn
镜	ge~
爵	z@k
晶	zi~
佩	pui
讯	s!n
忧	jru
鼻	bei
御	jv
均	#rn
枫	fu~
泽	zak
凯	hoi
浩	hou
奶	nai
怨	jvn
毁	wri
壮	zo~
诚	si~
忠	zu~
洪	hu~
雾	mou
糊	wu
固	gu
轰	hu~
轰	#r~
坦	tan
睁	za~
睁	zr~
佳	gai
爹	de
蒂	dri
丢	diu
庆	hi~
亿	jik
词	ci
辛	srn
丰	fu~
缩	suk
吹	c!i
仰	j@~
迪	dik
晃	fo~
庭	ti~
莲	lin
梁	l@~
仔	zri
仔	zi
侠	hap
阁	gok
检	gim
暂	zam
读	duk
郭	#ok
绕	jiu
插	cap
凉	l@~
净	ze~
净	zi~
召	ziu
减	gam
侍	si
慌	fo~
敏	mrn
伍	~
鹰	ji~
朗	lo~
讶	~a
诗	si
货	fo
掩	jim
码	ma
浑	wrn
隔	gak
傅	fu
疾	zrt
鸟	niu
赏	s@~
摩	mo
池	ci
氏	si
振	zrn
途	tou
闷	mun
童	tu~
朵	do
朵	d@
傻	so
粗	cou
旦	dan
悉	sik
鸣	mi~
径	gi~
旅	l!i
赫	hak
赫	hrk
穴	jvt
延	jin
惯	#an
唤	wun
皆	gai
盗	dou
琴	krm
帐	z@~
戴	dai
忆	jik
仁	jrn
宜	ji
甘	grm
炸	za
戒	gai
琳	lrm
浓	nu~
吻	mrn
季	#ri
疼	tu~
桑	so~
侯	hru
堡	bou
珍	zrn
贴	tip
符	fu
芳	fo~
嗯	~
羞	sru
典	din
劫	gip
骗	pin
旗	kei
啸	siu
堆	d!i
霸	ba
廷	ti~
促	cuk
惧	g!i
耐	noi
庞	po~
荒	fo~
序	z!i
躺	to~
粉	frn
慧	wri
餐	can
喃	nam
踏	dap
吕	l!i
孟	ma~
抚	fu
匆	cu~
漫	man
乘	si~
启	kri
脉	mrk
仪	ji
络	lok
拒	k!i
洁	git
郑	ze~
奉	fu~
漂	piu
愈	jv
倍	pui
拖	to
怔	zi~
映	ji~
访	fo~
奴	nou
乔	kiu
颇	po
愣	li~
献	hin
编	pin
健	gin
扭	nru
缠	cin
核	hrt
核	wrt
评	pi~
享	h@~
尾	mei
碧	bik
瓦	~a
尺	cek
票	piu
玛	ma
川	cvn
彼	bei
焰	jim
醉	z!i
述	s!t
痕	hrn
晨	srn
薄	bok
胖	bun
恭	gu~
辉	fri
绪	s!i
倾	ki~
亏	$ri
躯	k!i
磨	mo
隆	lu~
岸	~on
括	kut
废	fri
狐	wu
吞	trn
丫	a
锁	so
忌	gei
悟	~
滑	wat
椅	ji
赌	dou
垂	s!i
粮	l@~
厂	co~
辰	srn
曹	cou
霍	fok
遥	jiu
痴	ci
款	fun
贫	prn
扩	$ok
扩	$o~
督	duk
乖	#ai
欺	hei
聊	liu
悠	jru
艳	jim
奖	z@~
帅	s!i
估	gu
爬	pa
匹	prt
录	luk
截	zit
牢	lou
锐	j!i
递	dri
唱	c@~
唉	ai
嘻	hei
董	du~
刹	sat
钢	go~
惹	je
焦	ziu
穷	ku~
援	wun
慰	wri
措	cou
悔	fui
革	gak
陵	li~
姿	zi
扯	ce
泉	cvn
予	jv
筑	zuk
勾	gru
勾	~ru
授	sru
罩	zau
埋	mai
熊	hu~
潮	ciu
漠	mok
轩	hin
殊	sv
哀	oi
鸡	gri
掠	l@k
肚	tou
聪	cu~
斩	zam
狱	juk
俩	l@~
炮	pau
俱	k!i
挣	za~
挣	zr~
邦	bo~
袖	zru
泛	fan
沿	jvn
辞	ci
卓	c@k
恼	nou
航	ho~
零	li~
盈	ji~
载	zoi
扰	jiu
末	mut
恋	lvn
肃	suk
鹏	pa~
姆	mou
屈	wrt
眸	mru
冥	mi~
辆	l@~
劝	hvn
刃	jrn
炎	jim
姬	gei
拦	lan
堪	hrm
劈	pek
劈	pik
墨	mrk
培	pui
霜	s@~
斜	ce
审	srm
甜	tim
撒	sat
驾	ga
耀	jiu
脆	c!i
袍	pou
驻	zv
霞	ha
厌	jim
尝	s@~
弯	wan
宏	wr~
滴	dik
牧	muk
键	gin
耶	je
销	siu
膀	po~
寂	zik
媚	mei
枝	zi
牵	hin
丧	so~
祝	zuk
趁	crn
舌	sit
课	fo
麦	mak
抹	mut
玲	li~
喷	prn
染	jim
跪	#ri
擦	cat
翔	c@~
币	bri
埃	ai
埃	oi
钻	zvn
贯	gun
盾	t!n
灾	zoi
溜	lru
溜	liu
询	s!n
腹	fuk
渡	dou
燃	jin
眨	zam
撤	cit
敲	hau
侵	crm
喘	cvn
柄	be~
柄	bi~
悦	jvt
嫁	ga
岩	~am
赖	lai
烂	lan
嘉	ga
拾	srp
泥	nri
夹	gap
版	ban
搜	sru
汇	wui
冬	du~
俗	zuk
僧	zr~
僧	sr~
竞	gi~
喂	wri
骇	hoi
搭	dap
暖	nvn
茫	mo~
返	fan
莎	sa
莎	so
挤	zri
宾	brn
冠	gun
析	sik
郁	juk
郁	wrt
允	wrn
疗	liu
繁	fan
桥	kiu
葛	got
祥	c@~
瘦	sru
仲	zu~
耸	su~
仗	z@~
弓	gu~
违	wri
豫	jv
幅	fuk
胁	hip
瓶	pe~
瓶	pi~
愧	$ri
晕	wrn
柱	cv
饰	sik
翠	c!i
勉	min
矮	ri
矮	~ri
宿	suk
偶	~ru
汤	to~
刑	ji~
涛	tou
黎	lri
煞	sat
贤	jin
姊	zi
衫	sam
锦	grm
抛	pau
虫	cu~
昂	~o~
恰	hrp
咐	fu
铺	pou
琪	kei
衡	hr~
饮	jrm
捉	zuk
纤	cin
袁	jvn
猎	lip
赢	je~
赢	ji~
购	gru
购	kru
卢	lou
础	co
亭	ti~
娃	wa
慈	ci
晴	ci~
咒	zru
羊	j@~
签	cim
猫	mau
薇	mei
覆	fuk
祸	wo
罚	frt
舰	lam
魏	~ri
耗	hou
寸	cvn
跌	dit
俄	~o
蝶	dip
详	c@~
撑	ca~
闯	co~
箱	s@~
弗	frt
扮	ban
诱	jru
障	z@~
怖	bou
屁	pei
弥	mei
弥	nei
歉	hip
歉	him
砍	hrm
齿	ci
踢	tek
寺	zi
爪	zau
贸	mru
脏	zo~
棋	kei
贺	ho
迈	mai
捕	bou
笼	lu~
浅	cin
扣	kru
拨	but
扇	sin
臭	cru
篇	pin
猪	zv
邓	dr~
泄	sit
辱	juk
肤	fu
懒	lan
裁	coi
仆	buk
仆	puk
穆	muk
昆	$rn
丑	cru
愁	sru
渊	jvn
勤	krn
悬	jvn
铃	li~
韦	wri
崇	su~
井	ze~
帕	pak
昌	c@~
鞭	bin
叛	bun
僵	g@~
纹	mrn
鸿	hu~
瑶	jiu
雕	diu
洒	sa
冯	fu~
蛮	man
爽	so~
跨	$a
饶	jiu
矛	mau
缝	fu~
湾	wan
税	s!i
涉	sip
铜	tu~
屠	tou
麽	mo
乾	kin
莹	ji~
涂	tou
奸	gan
梯	tri
邀	jiu
誉	jv
诡	#ri
慎	srn
夕	zik
婉	jvn
吩	frn
镖	biu
摔	s!t
魄	pak
卧	~o
酷	huk
丛	cu~
巡	c!n
祭	zri
崖	~ai
誓	sri
描	miu
奏	zru
肖	ciu
碍	~oi
曰	j@k
霄	siu
糟	zou
麟	l!n
枚	mui
肌	gei
欠	him
稀	hei
阔	fut
液	jik
笨	brn
勃	but
毅	~ri
矿	$o~
湿	srp
桃	tou
疲	pei
荷	ho
汽	hei
姜	g@~
摄	sip
哎	ai
植	zik
艰	gan
脖	but
催	c!i
虹	hu~
巫	mou
屏	pi~
咽	jin
驰	ci
蓉	ju~
凑	cru
愕	~ok
肥	fei
绩	zik
坛	tan
凄	cri
搬	bun
扔	ji~
瑟	srt
杖	z@~
芙	fu
畏	wri
频	prn
润	j!n
酸	svn
割	got
绵	min
披	pei
滋	zi
秒	miu
戈	#o
贪	tam
捷	zit
瞒	mun
播	bo
逆	jik
咳	krt
申	srn
卑	bei
搂	lru
寇	kru
魅	mei
惠	wri
宛	jvn
喉	hru
幼	jru
卿	hi~
龄	li~
赐	ci
驶	sri
瓜	#a
氛	frn
腕	wun
污	wu
谅	l@~
筹	cru
宠	cu~
碗	wun
妃	fei
筋	grn
甩	lrt
驱	k!i
寨	zai
蕾	l!i
兼	gim
婷	ti~
捏	nip
妥	to
拓	tap
拓	tok
斥	cik
吵	cau
订	de~
订	di~
纠	dru
纠	gru
璃	lei
届	gai
饿	~o
夸	$a
倩	sin
薛	sit
窜	cvn
崔	c!i
尉	wri
恒	hr~
後	hru
宴	jin
晌	h@~
艘	sru
辣	lat
哇	wa
柜	#ri
斤	grn
储	cv
挨	ai
豹	pau
雁	~an
吾	~
挖	wat
饱	bau
彭	pa~
役	jik
琼	ki~
遮	ze
舟	zru
佣	ju~
狮	si
寿	sru
陶	tou
患	wan
砸	zak
颊	hap
励	lri
愚	jv
腐	fu
牲	sa~
牲	sr~
哑	a
哑	rk
恍	fo~
裤	fu
俏	ciu
鼠	sv
岚	lam
狄	dik
妄	mo~
丘	jru
抑	jik
呈	ci~
蓦	mrk
尹	wrn
坡	bo
坡	po
契	kri
契	kit
契	sit
嫌	jim
津	z!n
售	sru
棒	pa~
郡	#rn
撕	si
骤	zau
疆	g@~
颈	ge~
贾	ga
咕	gu
歇	hit
漏	lru
脾	pei
窝	wo
嫣	jin
盼	pan
耻	ci
蜜	mrt
姨	ji
厨	c!i
珊	san
链	lin
裹	#o
汪	wo~
靖	zi~
殷	jrn
拟	ji
淫	jrm
呜	wu
韵	wrn
柯	o
巾	grn
庙	miu
纱	sa
娶	c!i
矩	g!i
棍	#rn
晋	z!n
伐	frt
绳	si~
涨	z@~
添	tim
陛	bri
嘲	zau
捧	pu~
宅	zak
鼎	di~
谨	grn
乏	frt
黛	doi
仓	co~
岗	go~
掏	tou
削	s@k
诧	ca
灌	gun
旨	zi
刷	cat
页	jip
泡	pau
辩	bin
俞	jv
婴	ji~
盒	hrp
盒	hap
嚷	j@~
沾	zim
漆	crt
蠢	c!n
甫	fu
膝	srt
墓	mou
逢	fu~
嫩	nvn
坠	z!i
雀	z@k
枯	fu
偿	s@~
陌	mrk
屑	sit
畅	c@~
陡	dru
挽	wan
鹤	hok
涵	ham
署	cv
沃	juk
叉	ca
搏	bok
逝	sri
趟	to~
鞋	hai
赴	fu
谦	him
砰	pi~
骄	giu
遂	s!i
泣	jrp
档	do~
摊	tan
慨	koi
籍	zik
擒	krm
苗	miu
浴	juk
鉴	gam
尴	gam
迁	cin
疏	so
尬	gai
赚	zan
逗	dru
豆	dru
孝	hau
芬	frn
湘	s@~
诀	kvt
晰	sik
廉	lim
馨	hi~
辽	liu
械	hai
吊	diu
炉	lou
串	cvn
裸	lo
哲	zit
凛	lrm
渴	hot
柏	bak
芸	wrn
拱	gu~
妨	fo~
揉	jru
樱	ji~
寄	gei
宙	zru
宰	zoi
媒	mui
眯	mei
贡	gu~
崩	br~
绑	bo~
斧	fu
惶	wo~
嘶	si
沟	gru
沟	kru
禅	sim
骚	sou
荆	gi~
歪	me
歪	wai
涯	~ai
耍	sa
遵	z!n
遵	zvn
伪	~ri
冤	jvn
悍	hon
耿	gr~
翅	ci
循	c!n
聂	nip
猴	hru
拂	frt
裙	$rn
蓬	fu~
蓬	pu~
芝	zi
昭	ciu
昭	ziu
倏	suk
舱	co~
肆	sei
帽	mou
岭	le~
岭	li~
叮	di~
拐	#ai
儒	jv
嫂	sou
瞥	pit
廊	lo~
赔	pui
辨	bin
鄙	pei
哩	lei
逊	s!n
愉	jv
摘	zak
淋	lrm
牺	hei
俯	fu
谭	tam
蒋	z@~
劣	lvt
玫	mui
吁	h!i
吁	jv
肠	c@~
押	at
昔	sik
攀	pan
乳	jv
鹿	luk
