#	single
的	dik
空	hu~
眼	~an
听	ti~
远	jvn
师	si
元	jvn
请	ci~
容	ju~
她	ta
军	#rn
士	si
百	bak
办	ban
语	jv
期	kei
北	brk
林	lrm
识	sik
半	bun
夫	fu
客	hak
战	zin
院	jvn
城	si~
候	hru
单	dan
音	jrm
台	toi
死	sei
视	si
领	li~
失	srt
司	si
亲	crn
始	ci
极	gik
双	s@~
令	li~
改	goi
功	gu~
程	ci~
爱	~oi
德	drk
复	fuk
切	cit
随	c!i
李	lei
员	jvn
离	lei
轻	hi~
观	gun
青	ci~
足	zuk
落	lok
叫	giu
根	grn
怎	zrm
持	ci
精	ze~
精	zi~
送	su~
众	zu~
影	ji~
八	bat
首	sru
包	bau
准	z!n
兴	hi~
红	hu~
达	dat
早	zou
尽	z!n
故	gu
房	fo~
引	jrn
火	fo
站	zam
似	ci
找	zau
备	bei
调	diu
调	tiu
断	dvn
断	tvn
设	cit
格	gak
消	siu
拉	lap
拉	lai
照	ziu
布	bou
友	jru
整	zi~
术	s!t
石	sek
展	zin
紧	grn
据	g!i
终	zu~
周	zru
式	sik
举	g!i
飞	fei
片	pin
虽	s!i
易	jik
运	wrn
笑	siu
云	wrn
建	gin
谈	tam
界	gai
务	mou
写	se
钱	cin
商	s@~
乐	lok
乐	~ok
推	t!i
注	zv
越	jvt
千	cin
微	mei
若	j@k
约	j@k
英	ji~
集	zap
示	si
呢	nei
呢	ni
待	doi
坐	co
议	ji
乎	fu
留	lru
称	ci~
品	brn
志	zi
黑	hak
存	cvn
六	luk
造	zou
低	dri
江	go~
念	nim
产	can
刻	hak
节	zit
尔	ji
吃	hek
势	sri
依	ji
图	tou
共	gu~
曾	cr~
曾	zr~
响	h@~
底	dri
装	zo~
具	g!i
喜	hei
严	jim
九	gru
况	fo~
跟	grn
罗	lo
须	s!i
显	hin
热	jit
病	be~
病	bi~
证	zi~
刚	go~
治	zi
绝	zvt
群	$rn
市	si
阳	j@~
确	kok
究	gru
久	gru
除	c!i
闻	mrn
答	dap
段	dvn
官	gun
政	zi~
类	l!i
黄	wo~
武	mou
七	crt
支	zi
费	fri
父	fu
统	tu~
府	fu
查	ca
般	bun
斯	si
倒	dou
突	drt
号	hou
树	sv
拿	na
克	hak
初	co
广	#o~
奇	gei
奇	kei
愿	jvn
欢	fun
希	hei
母	mou
香	h@~
破	po
谁	s!i
致	zi
线	sin
急	grp
古	gu
既	gei
句	g!i
京	gi~
甚	srm
仍	ji~
晚	man
争	za~
游	jru
龙	lu~
余	jv
护	wu
另	li~
器	hei
细	sri
木	muk
权	kvn
星	si~
哪	na
苦	fu
孩	hoi
试	si
朝	ciu
朝	ziu
阿	a
队	d!i
居	g!i
害	hoi
独	duk
讲	go~
错	cok
局	guk
男	nam
差	ca
参	cam
社	se
换	wun
选	svn
止	zi
际	zri
假	ga
汉	hon
够	gru
诉	sou
资	zi
密	mrt
案	on
史	si
较	gau
环	wan
投	tru
静	zi~
宝	bou
专	zvn
修	sru
室	srt
区	k!i
料	liu
帮	bo~
衣	ji
竟	gi~
模	mou
脸	lim
善	sin
兵	bi~
考	hau
规	$ri
联	lvn
团	tvn
冷	la~
玉	juk
施	si
派	pai
纪	gei
采	coi
历	lik
顾	gu
春	c!n
责	zak
夜	je
画	wak
惊	ge~
惊	gi~
银	~rn
负	fu
续	zuk
吗	ma
简	gan
章	z@~
左	zo
块	fai
索	sok
酒	zru
值	zik
态	tai
按	on
陈	crn
河	ho
巴	ba
冲	cu~
阵	zrn
境	gi~
助	zo
角	gok
户	wu
乱	lvn
呼	fu
灵	le~
灵	li~
脚	g@k
继	gri
楼	lru
景	gi~
怕	pa
停	ti~
铁	tit
异	ji
谢	ze
否	fru
伤	s@~
兰	lan
置	zi
医	ji
良	l@~
承	si~
福	fuk
科	fo
属	suk
围	wri
需	s!i
退	t!i
基	gei
右	jru
速	cuk
适	sik
药	j@k
怀	wai
击	gik
买	mai
素	sou
背	bui
岁	s!i
土	tou
忙	mo~
充	cu~
排	pai
价	ga
质	zrt
遇	jv
端	dvn
列	lit
印	jrn
贵	#ri
疑	ji
露	lou
哥	go
杀	sat
标	biu
招	ziu
血	hvt
礼	lri
弟	dri
亮	l@~
齐	cri
穿	cvn
脑	nou
委	wri
州	zru
某	mru
顺	s!n
省	sa~
省	si~
讨	tou
尚	s@~
维	wri
板	ban
散	san
项	ho~
状	zo~
追	z!i
笔	brt
副	fu
层	cr~
沙	sa
养	j@~
读	duk
习	zap
永	wi~
草	cou
胡	wu
济	zri
执	zrp
察	cat
归	#ri
富	fu
座	zo
雨	jv
堂	to~
威	wri
忽	frt
苏	sou
船	svn
罪	z!i
敢	grm
妇	fu
村	cvn
著	zv
食	sik
导	dou
免	min
温	wrn
莫	mok
掌	z@~
激	gik
慢	man
托	tok
胜	si~
险	him
寻	crm
守	sru
波	bo
雷	l!i
沉	crm
秀	sru
职	zik
验	jim
靠	kau
楚	co
略	l@k
族	zuk
藏	co~
藏	zo~
丽	lri
渐	zim
刘	lru
仅	grn
肯	hr~
担	dam
扬	j@~
盘	pun
唐	to~
钟	zu~
级	krp
毛	mou
营	ji~
坚	gin
松	cu~
皮	pei
供	gu~
店	dim
饭	fan
范	fan
哈	ka
赶	gon
吧	ba
雪	svt
斗	dru
效	hau
临	lrm
农	nu~
味	mei
恶	~ok
恶	wu
烟	jin
园	jvn
烈	lit
配	pui
杂	zap
短	dvn
卫	wri
跳	tiu
孙	svn
曲	kuk
封	fu~
抓	au
抓	zau
移	ji
顿	d!n
律	l!t
卖	mai
艺	~ri
旧	gru
朋	pr~
救	gru
防	fo~
脱	tvt
翻	fan
划	wak
迎	ji~
痛	tu~
校	gau
校	hau
窗	c@~
宣	svn
乡	h@~
杨	j@~
叶	jip
警	gi~
限	han
湖	wu
软	jvn
掉	diu
财	coi
词	ci
压	~at
挥	fri
超	ciu
屋	uk
秋	cru
跑	pau
忘	mo~
馆	gun
暗	~rm
班	ban
党	do~
宗	zu~
坏	wai
技	gei
困	$rn
登	dr~
姐	ze
预	jv
耳	ji
席	zik
梦	mu~
朱	zv
组	zou
旁	po~
份	frn
禁	grm
套	tou
亚	a
益	jik
探	tam
康	ho~
增	zr~
诗	si
戏	hei
伯	bak
晓	hiu
含	hrm
劳	lou
恩	jrn
顶	de~
顶	di~
君	#rn
庄	zo~
谓	wri
付	fu
田	tin
毕	brt
纸	zi
研	jin
虚	h!i
怪	#ai
宁	ni~
替	tri
犯	fan
灯	dr~
优	jru
您	nei
姓	si~
例	lri
丝	si
盖	goi
盖	koi
误	~
架	ga
幸	hr~
隐	jrn
股	gu
毒	duk
娘	n@~
占	zim
智	zi
佛	frt
床	co~
米	mri
凡	fan
介	gai
征	zi~
彩	coi
演	jin
射	se
祖	zou
欲	juk
束	cuk
获	wok
舞	mou
圣	si~
伙	fo
梅	mui
普	pou
借	ze
私	si
源	jvn
镇	zrn
睡	s!i
缓	wun
升	si~
纳	nap
织	zik
歌	go
宫	gu~
概	koi
野	je
醒	se~
醒	si~
夏	ha
互	wu
积	zik
街	gai
牌	pai
休	jru
摇	jiu
洋	j@~
败	bai
监	gam
骨	#rt
批	pri
兄	hi~
刀	dou
网	mo~
率	l!t
率	s!t
庭	ti~
熟	suk
创	co~
访	fo~
硬	~a~
仁	jrn
菜	coi
丁	di~
绿	luk
牛	~ru
避	bei
阴	jrm
拍	pak
雄	hu~
秘	bei
缺	kvt
卷	gvn
姑	gu
尼	nei
油	jru
恐	hu~
玩	wan
玩	wun
释	sik
遍	pin
握	ak
球	kru
降	go~
降	ho~
虑	l!i
荣	wi~
策	cak
肉	juk
妈	ma
迷	mri
检	gim
伸	srn
欧	ru
攻	gu~
练	lin
育	juk
危	~ri
厅	te~
啊	a
睛	zi~
摆	bai
茶	ca
勇	ju~
判	pun
材	coi
抱	pou
亦	jik
妻	cri
吸	krp
喝	hot
趣	c!i
嘴	z!i
逐	zuk
操	cou
午	~
吉	grt
浪	lo~
轮	l!n
默	mrk
毫	hou
冰	bi~
珠	zv
鼓	gu
阶	gai
孔	hu~
徐	c!i
固	gu
偏	pin
陆	luk
诸	zv
遗	wri
爷	je
述	s!t
帝	dri
闭	bri
补	bou
编	pin
巨	g!i
透	tru
弄	nu~
尤	jru
鲁	lou
拥	ju~
录	luk
吴	~
墙	c@~
货	fo
弱	j@k
敌	dik
挑	tiu
宽	fun
迹	zik
抽	cru
忍	jrn
折	zit
输	sv
稳	wrn
皇	wo~
桌	z@k
献	hin
蒙	mu~
纷	frn
麻	ma
洗	sri
评	pi~
挂	#a
童	tu~
尊	z!n
舍	se
唯	wri
博	bok
剧	kek
乃	nai
混	wrn
弹	dan
弹	tan
附	fu
迟	ci
敬	gi~
杯	bui
鱼	jv
控	hu~
塞	coi
塞	srk
剑	gim
厚	hru
佳	gai
测	crk
训	frn
牙	~a
洞	du~
淡	tam
盛	si~
县	jvn
芳	fo~
雅	~a
革	gak
款	fun
横	wa~
累	l!i
择	zak
乘	si~
刺	cik
载	zoi
猛	ma~
逃	tou
构	kru
赵	ziu
杜	dou
庆	hi~
途	tou
奔	brn
虎	fu
巧	hau
巧	kiu
抗	ko~
针	zrm
徒	tou
圆	jvn
闪	sim
谷	guk
绍	siu
聚	z!i
额	~ak
健	gin
诚	si~
鲜	sin
泪	l!i
闲	han
均	#rn
序	z!i
震	zrn
仿	fo~
缘	jvn
戴	dai
婚	frn
篇	pin
亡	mo~
奶	nai
忠	zu~
烦	fan
赛	coi
闹	nau
协	hip
杰	git
残	can
懂	du~
丹	dan
柳	lru
妹	mui
映	ji~
桥	kiu
叹	tan
愈	jv
旅	l!i
授	sru
享	h@~
暴	bou
偷	tru
蓝	lam
氏	si
寒	hon
宜	ji
弃	hei
丰	fu~
延	jin
辈	bui
抢	c@~
颜	~an
赞	zan
典	din
冒	mou
眉	mei
烧	siu
厂	co~
唱	c@~
径	gi~
库	fu
川	cvn
辞	ci
伴	bun
怒	nou
型	ji~
纯	s!n
贝	bui
票	piu
隔	gak
穷	ku~
拜	bai
审	srm
伦	l!n
悲	bei
柔	jru
启	kri
减	gam
页	jip
纵	zu~
扫	sou
伟	wri
迫	bik
振	zrn
瑞	s!i
丈	z@~
梁	l@~
洲	zru
枪	c@~
央	j@~
触	zuk
予	jv
孤	gu
缩	suk
洛	lok
损	svn
促	cuk
番	fan
罢	ba
宋	su~
奋	frn
销	siu
幕	mok
犹	jru
锁	so
珍	zrn
抬	toi
陪	pui
妙	miu
摸	mok
峰	fu~
劲	gi~
镜	ge~
沈	crm
沈	srm
夺	dvt
昨	zok
哭	huk
讯	s!n
貌	mau
谋	mru
泰	tai
侧	zrk
贫	prn
扶	fu
阻	zo
贴	tip
申	srn
岸	~on
彼	bei
赏	s@~
版	ban
抵	dri
泽	zak
插	cap
迅	s!n
凭	pr~
伊	ji
潮	ciu
咱	za
咱	ca
仙	sin
符	fu
宇	jv
肩	gin
尝	s@~
递	dri
燕	jin
洁	git
拒	k!i
郎	lo~
凝	ji~
净	ze~
净	zi~
遭	zou
仪	ji
薄	bok
卡	kat
末	mut
勒	lrk
乌	wu
森	srm
诺	nok
呀	a
壮	zo~
忧	jru
沿	jvn
惯	#an
丢	diu
季	#ri
企	kei
壁	bik
惜	sek
惜	sik
婆	po
袋	doi
朗	lo~
零	li~
辛	srn
忆	jik
努	nou
舒	sv
枝	zi
凤	fu~
灭	mit
韩	hon
胆	dam
灰	fui
旦	dan
孟	ma~
陷	ham
俗	zuk
绕	jiu
疾	zrt
瞧	ciu
洪	hu~
甲	gap
帐	z@~
糊	wu
泛	fan
皆	gai
碰	pu~
吹	c!i
码	ma
奉	fu~
箱	s@~
倾	ki~
胸	hu~
堆	d!i
狂	ko~
仲	zu~
圈	gvn
圈	hvn
冬	du~
餐	can
厉	lri
腿	t!i
尖	zim
括	kut
佩	pui
鬼	#ri
欣	jrn
垂	s!i
跃	j@k
港	go~
骗	pin
融	ju~
撞	zo~
塔	tap
紫	zi
荡	do~
敏	mrn
郑	ze~
赖	lai
滑	wat
允	wrn
鸟	niu
课	fo
暂	zam
瓦	~a
祥	c@~
染	jim
滚	$rn
滚	#rn
浮	fru
粗	cou
刑	ji~
辆	l@~
狗	gru
扑	pok
稍	sau
秦	c!n
扎	zat
魂	wrn
岛	dou
腾	tr~
臣	srn
琴	krm
悉	sik
络	lok
摩	mo
措	cou
域	wik
冠	gun
竹	zuk
殊	sv
豪	hou
呆	dai
呆	~oi
萨	sat
旋	svn
喊	ham
寄	gei
悄	ciu
倍	pui
祝	zuk
剩	si~
督	duk
旗	kei
返	fan
召	ziu
彻	cit
宾	brn
甘	grm
吐	tou
乔	kiu
腰	jiu
拔	brt
幅	fuk
违	wri
详	c@~
臂	bei
尺	cek
饮	jrm
颗	fo
涉	sip
逼	bik
竞	gi~
培	pui
惠	wri
亏	$ri
叔	suk
伏	fuk
唤	wun
鸡	gri
邻	l!n
池	ci
怨	jvn
奥	ou
侯	hru
骑	gei
骑	kei
漫	man
拖	to
俊	z!n
尾	mei
恨	hrn
贯	gun
凌	li~
兼	gim
询	s!n
碎	s!i
晨	srn
罚	frt
铺	pou
浓	nu~
伍	~
宿	suk
泉	cvn
井	ze~
繁	fan
粉	frn
绪	s!i
筑	zuk
恢	fui
匹	prt
尘	crn
辉	fri
魔	mo
仰	j@~
董	du~
描	miu
距	k!i
盗	dou
渡	dou
勤	krn
劝	hvn
莲	lin
坦	tan
搭	dap
挺	ti~
踪	zu~
幽	jru
截	zit
荒	fo~
恰	hrp
慧	wri
邦	bo~
颇	po
焦	ziu
醉	z!i
废	fri
掩	jim
签	cim
丧	so~
灾	zoi
鼻	bei
侵	crm
陶	tou
肃	suk
裁	coi
俱	k!i
磨	mo
析	sik
奖	z@~
匆	cu~
瓶	pi~
泥	nri
拾	srp
凉	l@~
麦	mak
钢	go~
涌	cu~
涌	ju~
潜	cim
隆	lu~
津	z!n
搞	gau
蛋	dan
奈	noi
扰	jiu
耐	noi
傅	fu
锦	grm
播	bo
墨	mrk
偶	~ru
捕	bou
惑	wak
飘	piu
屈	wrt
鸣	mi~
挤	zri
毁	wri
斜	je
啦	la
污	wu
赤	cek
赤	cik
慰	wri
饰	sik
锋	fu~
覆	fuk
汤	to~
寿	sru
跨	$a
羊	j@~
航	ho~
拳	kvn
盟	mr~
廷	ti~
卢	lou
吓	hak
寂	zik
荷	ho
亭	ti~
曼	man
吕	l!i
寸	cvn
衡	hr~
狠	hrn
郭	#ok
奏	zru
割	got
阁	gok
汗	hon
箭	zin
埋	mai
拨	but
拨	put
频	prn
屏	pi~
坡	po
宏	wr~
黎	lri
猜	cai
莱	loi
障	z@~
患	wan
牢	lou
搜	sru
贤	jin
贺	ho
迁	cin
欺	hei
裂	lit
鞋	hai
抚	fu
骂	ma
乏	frt
拼	pi~
俄	~o
阔	fut
碍	~oi
搬	bun
夹	gap
遥	jiu
牵	hin
驾	ga
爸	ba
踏	dap
添	tim
袭	zap
扣	kru
艾	~ai
邓	dr~
凶	hu~
殿	din
订	de~
昏	frn
肚	tou
汇	wui
驱	k!i
核	hrt
桑	so~
孝	hau
棋	kei
咬	~au
疏	so
邀	jiu
仔	zri
巡	c!n
嘉	ga
册	cak
仇	kru
仇	sru
串	cvn
粮	l@~
龄	li~
宅	zak
扭	nru
嫁	ga
苍	co~
戒	gai
贾	ga
崇	su~
翠	c!i
岳	~ok
虫	cu~
椅	ji
暖	nvn
曹	cou
慕	mou
湾	wan
弯	wan
捉	zuk
涛	tou
柱	cv
纠	dru
纠	gru
邪	ce
译	jik
刊	hon
朵	d@
浩	hou
翼	jik
吟	jrm
闷	mun
幼	jru
昌	c@~
羽	jv
吾	~
柏	bak
植	zik
哀	oi
惨	cam
辩	bin
肥	fei
怜	lin
傲	~ou
润	j!n
扇	sin
聪	cu~
聊	liu
纤	cim
鉴	gam
吞	trn
估	gu
赫	hrk
堪	hrm
陵	li~
趋	c!i
牧	muk
漂	piu
盈	ji~
摄	sip
欠	him
扩	$ok
扩	$o~
览	lam
誉	jv
姿	zi
霞	ha
艳	jim
岂	hei
尸	si
阅	jvt
幻	wan
庞	po~
稀	hei
勃	but
抖	dru
疯	fu~
御	jv
疗	liu
爬	pa
籍	zik
敲	hau
愁	sru
浅	cin
愤	frn
魏	~ri
钻	zvn
冯	fu~
袖	zru
悦	jvt
栏	lan
柜	#ri
涂	tou
饱	bau
揭	kit
迈	mai
卿	hi~
俩	l@~
躲	do
坛	tan
岩	~am
勾	~ru
伪	~ri
购	kru
汪	wo~
韦	wri
雾	mou
曰	j@k
庙	miu
贡	gu~
租	zou
呈	ci~
媒	mui
艰	gan
嫌	jim
窝	wo
矛	mau
葛	got
循	c!n
旨	zi
忌	gei
燃	jin
豆	dru
呵	ho
挖	wat
恋	lvn
娜	na
驻	zv
跌	dit
捷	zit
桃	tou
赴	fu
诱	jru
仆	buk
昂	~o~
夕	zik
甜	tim
昭	ziu
厌	jim
摘	zak
耶	je
唇	s!n
劫	gip
爆	bau
援	wun
姜	g@~
稿	gou
蒂	dri
辨	bin
丑	cru
擦	cat
桂	#ri
梯	tri
炮	pau
瓜	#a
腐	fu
铜	tu~
瘦	sru
惟	wri
遵	zvn
慌	fo~
赌	dou
丛	cu~
挡	do~
税	s!i
烂	lan
盒	hap
霸	ba
逢	fu~
牲	sa~
悟	~
撑	ca~
拟	ji
扮	ban
酸	svn
卓	c@k
漠	mok
凯	hoi
羞	sru
署	cv
刷	cat
廉	lim
炸	za
熊	hu~
偿	s@~
汽	hei
弥	mei
弥	nei
绩	zik
萧	siu
剪	zin
盾	t!n
宴	jin
售	sru
亿	jik
帽	mou
痴	ci
沟	gru
沟	kru
恼	nou
斤	grn
寺	zi
辑	crp
仓	co~
湿	srp
贪	tam
滴	dik
赢	je~
疼	tu~
痕	hrn
缝	fu~
慈	ci
役	jik
悔	fui
殷	jrn
赋	fu
喷	prn
伐	frt
漏	lru
蛇	se
堡	bou
鼠	sv
脉	mrk
撤	cit
慎	srn
妨	fo~
玄	jvn
债	zai
扯	ce
耀	jiu
祸	wo
逸	jrt
穆	muk
炼	lin
炉	lou
腹	fuk
戈	#o
液	jik
抑	jik
挣	zr~
舟	zru
悬	jvn
励	lri
筹	cru
晶	zi~
叙	z!i
迪	dik
卧	~o
键	gin
碗	wun
鸿	hu~
芝	zi
浑	wrn
拦	lan
缠	cin
铃	li~
拆	cak
恒	hr~
昆	$rn
爹	de
卜	bak
嘛	ma
耗	hou
碧	bik
脏	zo~
猫	mau
悠	jru
霍	fok
霜	s@~
抛	pau
谨	grn
轰	#r~
苗	miu
轿	giu
奴	nou
岭	le~
岭	li~
邮	jru
绳	si~
逆	jik
茫	mo~
躺	to~
翁	ju~
撒	sat
鹰	ji~
畅	c@~
纹	mrn
崔	c!i
抹	mat
晴	ci~
娇	giu
吻	mrn
绘	kui
披	pei
吊	diu
狱	juk
芬	frn
敦	d!n
劣	lvt
溪	kri
惧	g!i
辱	juk
昔	sik
践	zin
辰	srn
填	tin
晋	z!n
雕	diu
郁	wrt
赐	ci
矩	g!i
冤	jvn
猪	zv
狼	lo~
菲	fei
勉	min
叉	ca
跪	#ri
矣	ji
滋	zi
础	co
姆	mou
兆	siu
颈	ge~
衫	sam
捧	pu~
贼	cak
睁	za~
闯	co~
骤	zau
毅	~ri
笼	lu~
丘	jru
妥	to
衰	s!i
锐	j!i
歇	hit
凑	cru
棉	min
柴	cai
韵	wrn
胞	bau
墓	mou
巾	grn
遂	s!i
恭	gu~
炎	jim
贞	zi~
誓	sri
催	c!i
胁	hip
档	do~
甫	pou
玲	li~
虹	hu~
棒	pa~
驰	ci
哲	zit
叠	dip
傻	so
璃	lei
鞭	bin
鹏	pa~
押	at
翔	c@~
址	zi
贸	mru
岗	go~
肠	c@~
廊	lo~
胖	bun
盼	pan
疲	pei
驶	sri
舌	sit
泄	sit
齿	ci
戚	cik
湘	s@~
臭	cru
仗	z@~
晃	fo~
蝶	dip
蓬	fu~
谦	him
饿	~o
衷	cu~
萍	pi~
涨	z@~
葬	zo~
币	bri
吵	cau
潘	pun
遮	ze
拓	tok
猎	lip
储	cv
渴	hot
逝	sri
彭	pa~
惹	je
袁	jvn
颤	zin
脆	c!i
娃	wa
瞬	s!n
肤	fu
嫂	sou
洒	sa
侍	si
履	l!i
挨	ai
淑	suk
厨	cv
兽	sru
薛	sit
旺	wo~
钦	jrm
鹤	hok
婉	jvn
械	hai
削	s@k
喘	cvn
窃	sit
愧	$ri
铭	mi~
裕	jv
帅	s!i
宰	zoi
杭	ho~
纱	sa
埃	ai
埃	oi
朴	pok
酷	huk
绣	sru
遣	hin
赠	zr~
谊	ji
耕	ga~
函	ham
掘	#rt
链	lin
豫	jv
赔	pui
灌	gun
斥	cik
诊	crn
皱	zru
畏	wri
溜	liu
溜	lru
夸	$a
携	$ri
琳	lrm
粒	lrp
愚	jv
届	gai
穴	jvt
玻	bo
渊	jvn
筋	grn
辅	fu
辽	liu
帕	pak
摊	tan
裹	#o
喂	wri
吁	jv
屠	tou
疆	g@~
盆	pun
氛	frn
玛	ma
综	zu~
症	zi~
弗	frt
辟	pik
峡	hap
郊	gau
蔡	coi
拐	#ai
筒	tu~
挽	wrn
棵	po
糟	zou
攀	pan
菊	guk
砍	hrm
裤	fu
眠	min
杆	gon
蓄	cuk
绑	bo~
涵	ham
绵	min
哑	rk
渔	jv
钥	j@k
寡	#a
谅	l@~
慨	koi
冻	du~
狐	wu
轨	#ri
爵	z@k
拘	k!i
懒	lan
枚	mui
牺	hei
煌	wo~
奸	gan
碑	bei
祭	zri
媚	mei
剥	mok
锅	wo
泼	put
腔	ho~
妖	jiu
乞	hrt
姚	jiu
歪	wai
乙	jvt
芒	mo~
舅	kru
扔	ji~
枯	fu
饶	jiu
哩	li
爽	so~
柯	o
趁	crn
谱	pou
契	kri
契	sit
弦	jin
掠	l@k
汝	jv
寨	zai
盐	jim
帘	lim
翰	hon
焰	jim
儒	jv
愉	jv
肖	ciu
尉	wri
裙	$rn
桶	tu~
侠	hap
盯	di~
讶	~a
诞	dan
隶	dri
勿	mrt
抄	cau
姊	zi
矿	$o~
袍	pou
泡	pau
踢	tek
倚	ji
泊	bok
咽	jit
罩	zau
哦	o
琼	ki~
乳	jv
倘	to~
膀	bo~
堵	dou
嚷	j@~
尹	wrn
荐	zin
囊	no~
竭	kit
矢	ci
酬	cru
瞪	dr~
焉	jin
淮	wai
塑	sok
乾	kin
畜	cuk
刹	sat
顽	wan
磁	ci
蔽	bri
颖	wi~
卑	bei
骄	giu
兹	zi
泣	jrp
脊	zek
淫	jrm
聘	pi~
蜜	mrt
惩	ci~
堤	tri
骆	lok
茂	mru
肌	gei
锡	sek
僧	sr~
耻	ci
徽	fri
煤	mui
姻	jrn
蒋	z@~
颠	din
晕	wrn
陌	mrk
躯	k!i
鼎	di~
逻	lo
赚	zan
蜂	fu~
膝	srt
钉	de~
衍	jin
寓	jv
竖	sv
蓉	ju~
蛮	man
溢	jrt
沾	zim
盲	ma~
雇	gu
哼	hr~
摔	s!t
滨	brn
钩	~ru
驳	bok
逊	s!n
烛	zuk
歉	him
歉	hip
衬	crn
晰	sik
妮	nei
夷	ji
嫩	nvn
宪	hin
灿	can
糖	to~
瑰	#ri
肿	zu~
滩	tan
峻	z!n
哄	hu~
咐	fu
篮	lam
嘱	zuk
嘲	zau
瑟	srt
狮	si
栽	zoi
轩	hin
诈	za
耸	su~
狭	hap
姨	ji
茅	mau
苹	pi~
雁	~an
趟	to~
谭	tam
浙	zit
巷	ho~
砖	zvn
啼	tri
弓	gu~
棺	gun
饼	be~
佐	zo
斑	ban
掏	tou
掀	hin
魅	mei
腊	lap
浴	juk
僵	g@~
娶	c!i
纽	nru
妆	zo~
俯	fu
浦	pou
侦	zi~
庸	ju~
贩	fan
捐	gvn
挪	no
胎	toi
丫	a
歹	dai
帆	fan
亩	mru
饥	gei
漆	crt
鹿	luk
硕	sek
秒	miu
渠	k!i
滞	zri
榜	bo~
拂	frt
嘿	hei
倦	gvn
咳	krt
凄	cri
钓	diu
舱	co~
株	zv
搁	gok
贱	zin
哉	zoi
喉	hru
稽	kri
喻	jv
坊	fo~
券	gvn
藤	tr~
澄	ci~
媳	sik
柄	be~
柄	bi~
秩	dit
憾	hrm
矮	ri
壳	hok
窄	zak
脾	pei
衔	ham
暮	mou
框	$a~
熙	hei
肝	gon
钧	#rn
贷	tai
乖	#ai
躬	gu~
壶	wu
