在	aut
跡	atozd
蹟	atozb
厚	atuiz
敦	atuww
淳	atudz
暑	atuoo
渥	atudt
亶	atuwa
圧	atuit
惇	atuxz
熱	atuht
篤	atuvm
集	atumarimr
羹	atumonoyd
五	atumuaa
伍	atumurw
萃	atumucu
誂	aturaeyd
温	atusidm
充	atusiwe
尚	atusixk
源	atusidx
厚	atusiiz
穆	atusihp
昌	atusioo
毅	atusily
敦	atusiww
淳	atusidz
懿	atusiux
睦	atusiot
醇	atusiyz
惇	atusixz
篤	atusivm
純	atusisv
淡	awadh
泡	awadv
沫	awadn
粟	awaxm
蚫	awabiiv
鮑	awabiav
鰒	awabiaw
袷	awasepk
理	ayawa
文	ayawx
怪	ayaxt
礼	ayapv
史	ayaan
彩	ayavp
操	ayafm
郁	ayaeu
斐	ayawa
彪	ayahp
恵	ayaxa
異	ayatb
紋	ayasw
絢	ayaso
綾	ayasw
綺	ayaginusk
肖	ayakaxo
誤	ayamayd
歩	ayuvp
鮎	ayuak
歩	ayumivp
歩	ayumuvp
字	azabz
痣	azabx
嘲	azakeko
薊	azamicd
字	azanabz
畔	azeta
畦	azett
味	azikn
鯵	aziap
鰺	aziap
与	azukaaa
預	azukasa
東	azumaan
梓	azusamu
把	bafv
派	badn
波	badp
羽	baga
場	batp
葉	bacm
話	bayk
貼	babk
馬	baah
婆	baband
梅	baimd
杯	baimd
倍	bairk
敗	baiwb
箱	bakovo
拍	bakufb
爆	bakuhd
漠	bakudd
麦	bakufw
泊	bakudb
瀑	bakudd
貘	bakuvd
枠	bakumu
獏	bakuqd
縛	bakusc
万	banap
板	banmy
班	bandw
番	banpt
犯	banqv
判	bandb
伴	banra
版	banpy
蛮	banwi
坂	banty
阪	baney
晩	banov
椀	banmv
盤	banmv
萬	bancd
鷭	bannp
話	banasiyk
羽	banega
払	baraifs
割	baridb
尿	bariud
針	bariju
橋	basimk
柱	basiramw
罰	batsd
端	batala
畑	batakeht
撥	batify
罰	batisd
鉢	batija
蝗	battaiw
跋	batuzd
発	batuvv
罰	batusd
閥	batumg
早	bayaou
速	bayaza
米	beibm
冪	bekibj
便	benrn
片	benpv
遍	benzh
篇	benvc
弁	bensc
弁	benyu
編	bensa
辯	benyu
辺	benzd
紅	benisg
別	betudk
日	bika
美	biyd
微	birw
尾	bium
匹	bikike
跛	bikkozp
便	binrn
品	binkk
敏	binwr
瓶	binqw
斌	binwd
壜	bints
氷	bindd
鬢	binab
菱	bisicw
波	bodp
墓	boct
簿	bovc
戊	bogp
歩	bovp
墨	bokuth
牧	bokuwn
卜	bokuad
朴	bokumd
僕	bokurd
本	bonaa
盆	bonmb
骨	boneko
鯔	boraat
鰡	boraat
星	bosiof
没	botdy
釦	botanjk
仏	botokers
仏	botokers
没	botudy
方	bouwp
房	bouhf
防	bouef
某	boucm
彭	bouup
棒	bouma
帽	boujo
坊	boutf
報	bouty
分	bubd
部	buel
武	buvd
振	bufn
歩	buvp
深	bukadm
袋	bukuroyr
分	bunbd
文	bunwx
樗	bunamg
椈	bunamm
船	bunevk
鰤	buriaj
節	busive
豚	butaon
蓋	butacm
斑	butiww
渕	butidd
太	butodd
蚋	butoid
物	butunp
蚋	buyoid
蚋	buyuid
百	byakuab
百	byatab
病	byoubn
票	byouxx
秒	byouhp
渺	byoudp
眇	byouop
俵	byoury
廟	byougo
鋲	byoujb
那	daev
打	dafd
駄	damd
大	daian
太	daidd
第	daivp
代	daird
台	daisk
奈	daidx
戴	daitg
題	daioa
橙	daidaimd
平	dairaau
高	dakawk
岳	dakepe
嵩	dakeek
獄	dakeqq
凧	dakojj
諾	dakuyk
玉	damawd
球	damawd
黙	damaha
魂	damasiieg
男	dantl
断	danmj
段	danpy
旦	danoa
暖	danoy
檀	danma
団	dankc
團	dankc
壇	danta
弾	danga
談	danyh
谷	danibk
誰	dareyf
懈	daruxn
怠	daruxs
脱	datoe
舘	daterk
脱	datuoe
奪	datudc
出	deek
田	denku
傅	denrc
伝	denrs
伝	denrs
傳	denrc
電	denyv
痔	dibc
金	dinrb
度	dogy
土	doua
渡	dody
鴿	dobatonr
溝	dobuda
独	doituqi
時	dokioc
得	dokurc
独	dokuqi
毒	dokufd
読	dokuye
轟	domekiii
共	domocb
丼	donad
鈍	donjv
丼	donburiad
殿	donouy
遠	doozt
通	doorizs
泥	dorodv
弗	doruva
道	douzq
同	doukk
堂	doutx
杜	doumt
幢	douja
胴	douok
動	doupl
濤	doudc
銅	doujk
鯲	dozyouad
鰌	dozyouay
塚	dukatn
付	dukerc
漬	dukedb
月	dukipe
机	dukuemj
強	duyogi
得	erc
江	edg
画	eak
柄	emn
彫	ekp
獲	eqy
絵	ess
繪	eso
選	ezb
蛯	ebiip
蝦	ebiiy
鰕	ebiay
箙	ebiravy
胡	ebisuuo
夷	ebisuan
戎	ebisugu
杁	eburimr
枝	edamy
抉	egufn
刳	egudd
英	eicn
永	eidn
映	eion
瑛	eiwn
栄	eixm
榮	eihm
穎	eipa
纓	eisn
詠	eikn
鋭	eije
頴	eipa
易	ekiop
亦	ekiwd
益	ekimq
液	ekidn
役	ekiry
浴	ekidk
駅	ekimn
笑	emivd
燕	enhc
炎	enhh
袁	enty
宴	enbn
苑	encv
円	enaa
嚥	enkh
園	enky
圓	enkb
塩	entm
縁	ensn
艶	enav
閻	enma
縁	enisisn
榎	enomw
榎	enokimw
槐	enzimg
槐	enzyumg
豪	erawn
偉	erara
鰓	eraax
襟	eripx
衿	eripv
餌	esaue
越	etuzv
悦	etuxe
我	gapd
画	gaak
蛾	gaid
臥	gakd
賀	gabl
駕	gaml
外	gaipd
害	gaibk
街	gaird
概	gaimv
垓	gaitr
該	gaiyr
買	gaibs
係	gakarirx
係	gakarips
崖	gakeet
垳	gaketd
学	gakuxz
岳	gakupe
萼	gakucg
學	gakuzp
楽	gakumd
額	gakuba
蒲	gamacd
瓶	gameqw
紙	gamisq
元	ganee
岸	ganeu
雁	ganif
癌	ganbe
剛	gandk
顔	ganla
願	gania
鴈	ganin
龕	ganrl
金	ganerb
顔	gaola
柄	garamn
方	gatawp
形	gataap
型	gatata
難	gatacf
刀	gatanagp
月	gatupe
皮	gawavy
川	gawapa
側	gaward
下	gead
偈	gerv
気	geqx
芸	geics
芸	geicg
藝	geics
激	gekidw
檄	gekimw
劇	gekidh
撃	gekiui
原	genix
言	genwk
元	genee
源	gendx
玄	genws
限	genen
弦	gengs
舷	genvs
儼	genrw
厳	genxw
減	gendk
現	genwj
絃	genss
験	genmn
下	genoad
月	getupe
着	giyo
技	gify
魏	gihg
巍	gieg
葵	gicd
儀	gird
義	giyd
議	giyd
吟	ginkv
銀	ginjn
際	giwaex
驍	giyome
五	goaa
御	gore
伍	gorw
後	gorw
呉	gokb
碁	goqu
語	goyk
誤	goyd
声	goeup
超	goezk
心	gokorodd
国	gokukw
極	gokuma
獄	gokuqq
米	gomebm
芥	gomica
塵	gomilt
権	gonmf
鮴	goriam
頃	goroaa
腰	gosion
事	gotoaa
毎	gotora
合	gourk
号	goukg
豪	gouwn
浩	goudk
宏	goubs
毅	gouly
壕	goutn
剛	goudk
業	gouan
郷	gouev
閤	goumk
蓙	gozact
具	guqb
虹	guig
愚	guxa
弘	gugs
組	gumisq
群	gunvy
郡	gunev
軍	gunbi
位	gurairl
黒	gurohh
城	gusukutv
薬	gusuricm
口	gutiaa
靴	gutugv
遇	guuza
寓	guubd
逆	gyakuzq
魚	gyodh
玉	gyokuwd
行	gyourd
凝	gyoudr
暁	gyouoe
業	gyouan
牛	gyuupa
派	hadn
波	hadp
羽	haga
端	hala
刃	hadd
歯	havk
葉	hacm
覇	haxo
貼	habk
幅	habajt
巾	habaaa
侍	haberc
秦	hadafh
肌	hadaoj
膚	hadaho
肌	hadaeoj
膚	hadaeho
裸	hadakapn
跣	hadasizp
蝿	haeiv
蠅	haeiv
鋼	haganeje
禿	hagehe
励	hagemuil
矧	hagiua
脛	hagiog
萩	hagich
母	hahavd
葬	hahucc
入	haipn
海	haidd
排	haifa
配	haiyv
杯	haimd
灰	haiuh
肺	haioj
胚	haioa
廃	haigv
拝	haiff
敗	haiwb
量	hakaoa
墓	hakact
図	hakakx
測	hakadd
諮	hakakd
諮	hakayk
捗	hakadofp
袴	hakamapg
儚	hakanard
秤	hakarihu
図	hakarikx
議	hakariyd
謀	hakarigotoym
衡	hakarurd
計	hakaruyu
箱	hakovo
函	hakovk
運	hakobuzb
白	hakupo
拍	hakufb
伯	hakurb
博	hakuuc
泊	hakudb
箔	hakuvb
填	hamatb
嵌	hamaeq
浜	hamadb
塡	hamatb
濱	hamadb
濵	hamadb
蛤	hamaguriik
魬	hamatiay
鱧	hamoad
反	hanpy
半	hanba
黄	hancb
翻	hanpy
班	handw
犯	hanqv
判	handb
伴	hanra
版	hanpy
潘	handt
樊	handm
藩	hanct
煩	hanha
範	hanvv
韓	hanua
飜	hanpa
花	hanacv
英	hanacn
端	hanala
鼻	hanapa
洟	hanadn
華	hanaca
英	hanabusacn
縹	hanadasx
贐	hanamukebm
餞	hanamukeug
離	hanarewf
噺	hanasikj
話	hanasiyk
塙	hanawatk
輪	hanawaic
羽	hanega
翅	haneuy
土	haniua
埴	hanitq
原	haraix
肚	haraot
腹	haraow
原	haranoix
腸	harawataop
晴	hareoo
梁	harimd
張	harign
畭	harith
針	hariju
鍼	harijk
開	harimk
磔	haritukeum
明	haruoo
原	haruix
治	harudk
春	harufo
晴	haruoo
緬	harusa
遥	harukazv
悠	harukaxr
遙	harukazd
遼	harukazx
保	harukorm
迫	hasamazb
間	hasamamo
迫	hasamizb
鋏	hasamijn
馳	hasemv
走	hasitr
端	hasila
箸	hasivo
橋	hasimk
榛	hasibamimh
梯	hasigomp
艀	hasikevz
柱	hasiramw
端	hasitala
斜	hasuru
芙	hasucn
蓮	hasucz
八	hatpn
将	hatadc
秦	hatafh
端	hatala
旗	hatafb
傍	hatarf
幡	hatajt
機	hatamj
畑	hataht
畠	hatabt
鰰	hatahataya
疥	hatakeba
畑	hatakeht
畠	hatakebt
果	hatean
八	hatipn
蜂	hatiif
鉢	hatija
蓮	hatisucz
鳩	hatonj
初	hatupd
削	hatudx
発	hatuvv
早	hayaou
速	hayaza
敏	hayawr
疾	hayabu
捷	hayafr
鮠	hayaav
隼	hayabusaur
駿	hayaomw
林	hayasimm
迅	hayasizv
颯	hayatelf
隼	hayatour
迫	hazamazb
硲	hazamauk
間	hazamamo
櫨	hazemm
鯊	hazead
端	hazila
恥	haziex
椒	hazikamimy
薑	hazikamiya
一	hazimeaa
大	hazimean
元	hazimeee
始	hazimenk
基	hazimetq
章	hazimelu
初	hazimepd
良	hazimedn
源	hazimedx
春	hazimefo
宗	hazimebx
玄	hazimews
甲	hazimeaa
孟	hazimemz
祝	hazimepe
甫	hazimead
哉	hazimekg
萌	hazimeco
肇	hazimeha
俶	hazimery
創	hazimedr
啓	hazimekh
東	hazimean
権	hazimemf
元	hazimuee
黎	hazimuhd
肇	hazimuha
筈	hazuvk
励	hazumiil
屁	heuv
舳	heva
歴	heiv
減	hedk
経	hest
蛇	hebiiv
平	heiau
兵	heipb
屏	heiuc
弊	heicx
丙	heian
塀	heitc
屛	heiuu
壁	hekitu
碧	hekiuw
僻	hekiru
癖	hekibu
片	henpv
偏	henrc
遍	henzh
篇	henvc
変	henww
編	hensa
辺	henzd
篦	heravv
箆	heravp
縁	herisn
謙	herikudayn
遜	herikudazz
綣	hesosv
臍	hesooa
蔕	hetacj
竃	hettuibp
被	hipp
日	hika
比	hiav
非	hiaa
火	hidr
干	hiau
否	hiak
秘	hihp
牌	hipu
灯	hihd
妃	hinv
碑	hiuu
簸	hivy
杼	hima
樋	himz
緋	hisa
費	hibv
陽	hiep
飛	hivd
罅	hibifu
皸	hibibp
皹	hibiai
響	hibikiso
襞	hidayu
左	hidariug
饑	hidaruud
英	hidecn
秀	hidehp
未	hidemian
旱	hideriou
英	hidesicn
秀	hidesihp
酷	hidoyk
蹄	hidumezj
稗	hiehu
鰉	higaiaw
東	higasian
髯	higeaa
髭	higeav
鬚	higeaa
籤	higovg
羆	higumahh
蜩	higurasiik
雛	hiinagf
柊	hiiragimd
秀	hiizuhp
光	hikaxe
控	hikaefg
膕	hikagamioa
光	hikarixe
晶	hikarioo
耀	hikarigf
燿	hikarihf
光	hikaruxe
玄	hikaruws
晃	hikaruog
皓	hikarubk
暉	hikaruoi
燿	hikaruhf
輝	hikarugi
匹	hikike
蟇	hikici
蟇	hikigaeruci
将	hikiidc
將	hikiidc
燧	hikirihz
蘖	hikobaecm
低	hikurd
隙	himaex
暇	himaoy
媛	himeny
姫	himena
媛	himeriny
紐	himosa
品	hinkk
斌	hinwd
瀕	hinda
貧	hinbb
鄙	hinaek
雛	hinagf
捻	hinefx
撚	hinefh
丙	hinoean
桧	hinokims
檜	hinokimo
丁	hinotoaa
平	hiraau
片	hirapv
開	hirakimk
通	hirakuzs
展	hirakuun
拓	hirakufk
啓	hirakukh
墾	hirakutv
発	hirakuvv
開	hirakumk
鮃	hirameau
鰭	hireao
大	hiroan
洋	hirody
恢	hiroxh
浩	hirodk
宏	hirobs
蓉	hirock
弘	hirogs
熙	hirohk
裕	hiropk
寛	hirobj
尋	hiroec
広	hirogs
廣	hirogb
汎	hirodd
滉	hirodg
煕	hirohk
熈	hiroha
紘	hiross
絋	hiross
洋	hiromidy
宏	hiromibs
展	hiromuun
宏	hiromubs
拓	hiromufk
弘	hiromugs
啓	hiromukh
拡	hiromufs
大	hirosian
天	hirosiad
年	hirosira
空	hirosibg
完	hirosibe
海	hirosidd
容	hirosibk
展	hirosiun
英	hirosicn
莫	hirosicd
宇	hirosibu
史	hirosian
秦	hirosifh
普	hirosiqo
敬	hirosiwc
洋	hirosidy
央	hirosian
泰	hirosifd
博	hirosiuc
浩	hirosidk
洪	hirosidb
坦	hirosita
仁	hirosire
悠	hirosixr
漠	hirosidd
宏	hirosibs
拓	hirosifk
汪	hirosidw
宙	hirosiba
弘	hirosigs
庸	hirosiga
熙	hirosihk
昊	hirosiod
裕	hirosipk
淳	hirosidz
洽	hirosidk
溥	hirosidc
啓	hirosikh
寛	hirosibj
寬	hirosibd
尋	hirosiec
広	hirosigs
廣	hirosigb
拡	hirosifs
汎	hirosidd
滉	hirosidg
潤	hirosidw
濶	hirosidk
煕	hirosihk
祐	hirosipk
紘	hirosiss
陽	hirosiep
鴻	hirosidn
寛	hirosubj
昼	hiruua
蒜	hirucx
蛭	hiruit
久	hisapn
尚	hisaxk
寿	hisafc
壽	hisauc
提	hisagefr
瓢	hisagoxg
瓠	hisagodg
常	hisasixj
久	hisasipn
古	hisasiuk
尚	hisasixk
史	hisasian
永	hisasidn
央	hisasian
悠	hisasixr
恒	hisasixa
寿	hisasifc
庇	hisasigv
亀	hisasidv
壽	hisasiuc
廂	hisasigo
斉	hisasiwa
栄	hisasixm
脩	hisasiro
脩	hisasiro
菱	hisicw
醢	hisioym
醤	hisioyd
醬	hisioyd
密	hisokabe
顰	hisomivu
杓	hisyakumd
浸	hitady
額	hitaiba
鶲	hitakinb
一	hitoaa
人	hitopn
単	hitoexa
眸	hitomion
瞳	hitomioa
和	hitosihk
等	hitosivc
整	hitosiav
亦	hitosiwd
均	hitositd
仁	hitosire
寿	hitosifc
弘	hitosigs
彬	hitosimp
旬	hitosigo
虔	hitosihw
斉	hitosiwa
斎	hitosiwa
準	hitosiuf
釣	hitosijd
鈞	hitosijd
齊	hitosiwa
齋	hitosiwa
獄	hitoyaqq
弼	hituag
櫃	hitumb
筆	hituva
棺	hitugimk
柩	hitugimn
未	hituzian
羊	hituziba
坤	hituzisaruta
燧	hiutihz
鶸	hiwang
冷	hiyads
鵯	hiyodorinp
雛	hiyokogf
膝	hizaod
臂	hiziou
肘	hizioc
肱	hizios
聖	hiziriwe
蹄	hizumezj
歪	hizumiav
放	howf
保	horm
帆	hojd
掘	hofk
彫	hokp
歩	hovp
穂	hohx
補	hopd
略	hobotk
粗	hobomq
絆	hodasisa
程	hodohw
吠	hoekq
頬	hohoab
頰	hohoaa
屠	hohuuo
他	hokarv
外	hokapd
矛	hokosp
戈	hokoad
誇	hokoyg
鉾	hokojn
祠	hokorapk
埃	hokoritu
鋒	hokosakijf
誉	homarexy
称	homehx
頌	homeba
焰	homuraha
炎	homurahh
焔	homuraho
本	honaa
洪	hondb
骨	honeko
焰	honooha
炎	honoohh
焔	honooho
頬	hooab
頰	hooaa
洞	horadk
壕	horitn
濠	horidn
堀	horite
幌	horojg
星	hosiof
糒	hosiima
恣	hosiimamaxd
縦	hosiimamasr
細	hosost
欲	hotbq
榾	hotamo
蛍	hotaruxi
螢	hotaruhi
熱	hoteht
迸	hotobasizq
佛	hotokera
仏	hotokers
仏	hotokers
殆	hotondodk
畔	hotorita
辺	hotorizd
方	houwp
法	houds
放	houwf
保	hourm
峰	houef
侯	houru
芳	houcf
袍	houpv
抛	houfl
彭	houup
朴	houmd
報	houty
砲	houiv
鳳	houjh
鵬	houon
箒	houkivj
葬	houmucc
祝	houripe
臍	hozooa
蔕	hozocj
不	huad
府	hugc
震	huyn
付	hurc
普	huqo
降	huea
附	huec
振	hufn
符	huvc
斑	huww
腑	huoc
麸	hufn
婦	hunj
歩	huvp
訃	huyd
譜	huyo
負	hubd
賦	hubd
化	huarv
華	huaca
黄	huancb
翻	huanpy
帆	huanjd
飜	huanpa
史	hubitoan
札	hudamv
筆	hudeva
笛	hueva
吭	huekj
畚	hugost
鰒	huguaw
輝	huigi
黄	huiancb
比	huiripinav
深	hukadm
鯊	hukaad
鱶	hukaan
深	hukasidm
洋	hukasidy
淵	hukasida
耽	hukeev
蕗	hukick
服	hukuoy
副	hukuda
福	hukupt
伏	hukurq
馥	hukuhw
復	hukurw
複	hukurw
瓢	hukubexg
匏	hukubedv
瓠	hukubedg
袋	hukuroyr
梟	hukurounm
文	humiwx
章	humilu
史	humian
書	humivo
麓	humotolm
梺	humotomd
分	hunbd
扮	hunfd
墳	huntb
糞	hunmb
船	hunavk
舟	hunapd
鮒	hunaac
舷	hunabatavs
褌	hundosipi
船	hunevk
舟	hunepd
仏	huransurs
仏	huransurs
古	huruuk
故	huruwu
旧	huruao
篩	huruivj
房	husahf
寅	husabb
総	husaxx
伏	husirq
節	husive
衾	husumary
襖	husumapd
麩	husumaan
二	hutaaa
蓋	hutacm
貳	hutatuqb
淵	hutida
渕	hutidd
縁	hutisn
太	hutodd
莞	hutoice
懐	hutokoroxy
太	hutoridd
頭	hutoridb
大	hutosian
太	hutosidd
二	hutuaa
仏	huturs
仏	huturs
封	huutc
楓	huumf
風	huuji
冬	huyuwd
藤	huzicd
百	hyakuab
百	hyatab
平	hyouau
表	hyoufy
兵	hyoupb
冰	hyoudd
票	hyouxx
豹	hyouvv
彪	hyouhp
雹	hyouyv
俵	hyoury
標	hyoumx
氷	hyoudd
評	hyouyu
要	ixn
好	inz
意	ixl
位	irl
入	ipn
李	imz
衣	iwy
居	iuk
威	ign
射	iuc
医	iku
委	ihn
伊	irp
井	iaa
胃	ito
熬	ihf
炒	ihp
煎	ihq
亥	iwr
偉	ira
異	itb
藺	icf
鋳	ijc
飯	iuy
茨	ibaracr
尿	ibariud
鼾	ibikipu
歪	ibituav
疣	ibobd
訝	ibukayp
燻	ibusihh
燻	ibusihh
出	ideek
泉	idumibd
出	iduruek
家	iebn
毬	igamd
碇	igariur
錨	igarijt
英	igirisucn
謂	iiyo
飯	iiuy
怒	ikaxn
厳	ikaxw
筏	ikadavg
雷	ikadutiyt
碇	ikariur
錨	ikarijt
鵤	ikarujn
鵤	ikarugajn
雷	ikatutiyt
雷	ikazutiyt
池	ikedv
蘇	ikeruch
行	ikird
息	ikixp
域	ikitk
粋	ikimu
憤	ikidooxb
勢	ikioilt
憩	ikoixp
育	ikuwo
郁	ikueu
幾	ikusg
育	ikumiwo
生	ikurupf
郁	ikurueu
戦	ikusadg
今	imarv
忌	imixv
諱	iminaya
薯	imoco
芋	imocu
藷	imoco
妹	imotonn
妹	imoutonn
林	imumm
厳	imuxw
因	inkd
院	inee
印	inep
尹	invp
殷	inpy
胤	inpv
員	inbk
婬	innu
陰	ines
隕	ineb
韻	inlb
飲	inur
鷹	ingn
否	inaak
稲	inaho
鯔	inaat
蝗	inagoiw
禾	inepm
稲	ineho
古	inisieuk
猪	inoqo
祈	inopj
祷	inopc
禱	inopc
藺	inocf
豕	inokoan
祈	inoripj
猪	inosisiqo
命	inotire
吋	intikv
狗	inuqk
犬	inudd
戌	inuga
乾	inuiug
乾	inuiau
庵	iorigv
廬	iorigm
甍	irakacw
入	iripn
色	irodv
彩	irodovp
彩	irodorivp
容	irurubk
屑	isagiyouo
潔	isagiyods
沙	isagodp
砂	isagoup
諍	isakaiya
勇	isamisl
力	isamugp
武	isamuvd
功	isamugl
敢	isamuwv
勇	isamusl
偉	isamura
勲	isamuhp
証	isamuyv
公	isaobs
功	isaogl
烈	isaohd
治	isaodk
巧	isaogg
魁	isaogu
庸	isaoga
勲	isaohp
勳	isaopl
徳	isaorx
潔	isaods
績	isaosb
訓	isaoya
勲	isawohp
石	isiak
碑	isibumiuu
島	isimane
弩	isiyumign
礎	isizueur
磯	isoud
礒	isoud
一	itaa
逸	itzd
到	itada
至	itata
甚	itaqv
痛	itaba
板	itamy
詣	itayo
頂	itadakida
至	itarita
伊	itariarp
到	itaruda
至	itaruta
周	itarupk
格	itarumk
造	itaruzn
泰	itarufd
臻	itaruah
徹	itaruwr
達	itaruzy
鼬	itatiua
徒	itazurarr
一	itiaa
市	itiwj
壱	itiuv
莓	itigocd
苺	itigocd
櫟	itiimm
糸	itovx
糸	itoav
純	itosv
緒	itogutiso
幼	itokenavl
稚	itokenahf
暇	itomaoy
五	ituaa
逸	ituzd
斉	itukiwa
斎	itukiwa
樹	itukimc
齊	itukiwa
齋	itukiwa
偽	ituwarh
岩	iwaeu
磐	iwauv
巖	iwaew
祝	iwaipe
磐	iwaouv
厳	iwaoxw
巌	iwaoew
巖	iwaoew
鰮	iwasiam
鰯	iwasiad
否	iyaak
嫌	iyann
厭	iyaiq
彌	iyagx
愈	iyoiyoxr
漁	izarida
躄	izarizu
和	izumihk
泉	izumibd
出	izuruek
下	kaad
可	kadk
家	kabn
何	kark
日	kaka
加	kalk
化	karv
火	kadr
香	kaho
科	kahu
借	karo
夏	kaaw
架	kaml
歌	kadq
佳	kart
嫁	kann
戈	kaad
蚊	kaiw
狩	kaqc
刈	kadx
価	karx
禍	kapk
穫	kahy
華	kaca
課	kayn
賀	kabl
賈	kabx
過	kazk
駆	kamx
駈	kama
何	kaark
蒲	kabacd
樺	kabama
鞄	kabangv
姓	kabanenf
屍	kabaneup
蒲	kabanocd
壁	kabetu
黴	kabiyw
被	kabupp
株	kabumn
蕪	kabuch
蕪	kaburach
鏑	kaburajk
頭	kaburidb
禿	kaburohe
甲	kabutoaa
兜	kabutoep
冑	kabutoyo
冑	kabutoao
角	kadoda
廉	kadogn
圭	kadott
門	kadoaa
鰊	kadoan
反	kaepy
返	kaezp
孵	kaepz
帰	kaeaj
還	kaezy
楓	kaedemf
蛙	kaeruit
縢	kagaox
鏡	kagamije
鑑	kagamijm
篝	kagariva
輝	kagayakigi
影	kageop
翳	kageky
蔭	kagecs
陰	kagees
限	kagien
柿	kagimj
鈎	kagijs
鍵	kagijz
篭	kagovv
籠	kagovl
駕	kagoml
芳	kahorucf
会	kairs
回	kaikk
快	kaixn
海	kaidd
解	kaijn
界	kaita
怪	kaixt
介	kaira
皆	kaiba
峡	kaien
魁	kaigu
帆	kaijd
戎	kaigu
亥	kaiwr
櫂	kaimf
貝	kaiob
買	kaibs
開	kaimk
階	kaieb
蚕	kaikoai
腕	kainaov
浬	kairidt
罹	kakasf
懸	kakaxq
掛	kakafd
嬶	kakaanc
係	kakarirx
係	kakarips
踵	kakatoza
嚊	kakaukc
拘	kakawafk
翔	kakeyy
欠	kakedr
欠	kakefn
掛	kakefd
賭	kakebo
梯	kakehasimp
筧	kakehivj
筧	kakeivj
走	kakerutr
翔	kakeruyy
駆	kakerumx
堵	kakito
垣	kakita
柿	kakimj
蛎	kakiip
書	kakivo
蠣	kakiid
栫	kakoimz
各	kakuwk
格	kakumk
角	kakuda
画	kakuak
郭	kakuew
核	kakumr
