一	yia
名	mkp
后	hzp
吏	lia
吐	tuk
向	xlp
君	jyv
吟	ybk
否	fza
含	hjr
呈	igk
吸	xik
吹	ivk
告	gcn
周	vzp
味	wwk
呼	huk
命	mkr
和	heh
和	hoh
和	huh
咲	grk
哀	aiw
品	pbk
員	yrb
哲	vek
唆	sok
唐	thg
唯	wwk
唱	ihk
商	uhl
問	wfm
善	ujy
喚	hrk
喜	xiu
喪	shu
喫	iik
嗣	sik
嘆	tjk
器	qik
噴	pfk
嚇	xxk
嚇	xxk
嚇	hek
嚇	hek
嘱	vuk
囚	qqk
四	sik
回	hvk
因	ybk
困	kyk
固	guk
国	gok
園	yrk
土	tuu
在	zdu
地	det
地	dit
坂	bjt
均	jyt
坊	fht
坑	kgt
坪	pkt
垂	ivp
型	xkt
埋	mjt
埋	mdt
城	igt
域	yut
執	vif
培	pwt
基	jit
堂	tht
堅	jmt
堤	dit
堪	kjt
報	bcf
場	iht
塊	kkt
塑	sut
塔	tat
塗	tud
境	jkt
墓	muc
墜	vvt
墨	mot
堕	hvt
堕	dot
墳	fft
墾	kft
壁	bit
壇	tjt
士	uiu
壮	vld
寿	uzf
夏	xxa
夕	xip
外	wdp
多	dop
夜	yew
夢	mgm
大	daa
大	dda
天	tma
太	tdd
夫	fua
央	yha
失	uip
奇	qid
奇	jid
奉	fgf
奏	zzf
契	xpd
契	qid
奔	bfd
奥	aop
奪	dod
奮	ffd
女	nvv
奴	nun
好	hcn
如	run
妃	fwn
妊	rfn
妙	mnn
妥	tov
妨	fhn
妹	mwn
妻	qia
始	uin
姓	xkn
委	wwh
姻	ybn
姿	zin
威	wwg
娘	nln
娠	ufn
婆	pon
婚	hyn
婦	fun
婿	xun
媒	mwn
嫁	jxn
嫡	din
子	ziv
孔	ksz
字	zib
存	cyu
孝	xnt
季	jih
孤	guz
孫	syz
学	xtx
宅	vdb
宇	yub
守	uzb
安	anb
完	wjb
宗	zsb
官	grb
宙	vzb
定	dkb
宜	yib
客	keb
宣	xrb
室	uit
宮	gsb
宰	zdb
害	hdb
宴	yjb
家	jxb
容	rsb
宿	xqb
宿	sub
寂	jib
寄	jib
密	mib
富	fub
寒	hjb
察	iab
寡	gxb
寝	qbb
寧	nkb
審	ufb
写	xpb
寮	lnb
宝	bcb
寸	cya
寺	sit
封	fgt
射	ueu
将	jld
尉	yuu
尉	wwu
尊	zyq
尋	xye
導	dcv
小	xna
少	ucx
就	jqw
尺	iiu
尼	niu
尾	wwu
尿	nnu
局	juu
居	juu
届	jpu
屈	quu
屋	wuu
展	vju
層	cgu
履	lvu
属	vuu
属	uuu
山	ujk
岐	qie
岩	yje
岸	ane
峰	fge
島	dcn
峡	xxe
崇	ise
崩	bge
岳	ytp
川	irp
州	vzd
巡	xyz
工	gsa
左	zou
巧	qng
巨	juk
差	iay
差	ciy
差	idy
己	jiv
市	uiw
布	buu
帆	fjj
希	xix
帝	dil
帥	uka
師	uia
席	xig
帳	vhj
常	ihx
帽	mcj
幅	fuj
幕	muc
幣	bip
干	gja
平	pka
年	nmr
幸	xkt
幹	gja
幻	hrv
幼	yzv
幽	yze
幾	jip
床	ilg
序	xug
底	dig
店	dmg
府	fug
度	dug
度	dog
座	zog
庫	kug
庭	tkg
庶	uug
康	khg
庸	ysg
廉	lmg
廊	lhg
延	yjz
廷	tkz
建	jmz
弊	bic
式	uiq
弓	gsv
弔	dng
引	ybg
弟	dib
弦	xmg
弧	hug
弱	rog
張	vhg
強	qlg
強	jlg
形	xka
彩	cdv
彰	vhl
影	yko
役	yir
彼	bir
往	whr
征	vgr
待	ddr
律	lvr
後	hzp
徐	xur
径	jkr
徒	tur
得	der
得	dwr
御	yur
復	fur
循	xyr
微	wwr
徹	ier
心	xbd
必	bid
忌	jix
忍	rfx
志	vix
忘	whx
忙	mhx
忠	vsx
快	kkx
念	nmx
怒	nux
怖	bux
思	six
怠	ddx
急	jix
性	xkx
怪	gkx
恒	hgx
恐	ksx
恥	iie
恨	hfx
恩	enx
恭	gsc
息	xix
悦	ytx
悔	hvx
悟	wux
患	hrx
悲	bwx
悼	dcx
情	qkx
惑	hox
惜	xix
惰	dox
想	xlx
愁	izx
愉	yux
意	yix
愚	yux
愛	aiv
感	gjx
慎	ufx
慈	cix
態	tdx
慌	hlx
慕	muc
惨	cjx
慢	mjx
慣	grx
慨	kdx
慮	lvh
慰	wwx
慶	qkg
憂	yzx
憎	zgx
憤	ffx
憩	qix
憲	xmb
憶	yix
憾	hjx
懇	kfx
懲	igx
懸	xrx
恋	lmx
成	igg
我	wop
戒	jpg
房	fhh
所	sop
扇	ujh
手	uzp
才	cda
打	daf
扱	xif
扶	fuf
批	pif
承	igv
技	jif
抄	icf
抑	yif
投	tzf
抗	khf
折	vef
折	uef
抱	bcf
抵	dif
押	yaf
抽	izf
拍	pdf
拒	juf
拓	tof
拓	taf
拘	juf
拙	vof
招	vcf
括	kof
拷	kcf
拾	uif
持	iif
指	vif
振	vff
捕	buf
掃	scf
授	uzf
掌	vhx
排	pdf
掘	jtf
掛	gxf
採	cdv
探	tjf
接	jpf
控	ksf
推	tvf
措	cof
描	mnf
提	tif
提	dif
揚	yhf
換	hrf
握	wof
揮	hvf
援	yrf
損	syf
搬	bjf
携	xpf
搾	va
摘	vdf
摩	mog
撤	ief
撮	zof
撮	cof
撲	puf
擁	ysf
操	ccf
担	djf
擦	caf
擬	nif
支	viu
改	gdw
攻	gsw
放	fhw
政	vgw
故	guw
叙	xur
教	jnw
敏	mbw
救	jqw
敗	bdw
敢	gjw
散	sjw
敬	jkw
敵	diw
敷	fuw
敷	fuw
数	uuw
整	vga
文	wfw
斗	dzd
料	ln
斜	xpr
斤	jbp
斥	iip
新	xbl
断	drm
方	fhw
施	uif
旅	lvf
旋	xrf
族	zuf
旗	qif
既	jiv
日	rik
旨	vip
早	zco
旬	xyg
昇	ugo
明	mko
易	yio
昔	xic
星	xko
映	yko
春	iyf
昨	zoo
昭	vco
是	uio
時	uio
昼	vzu
普	puq
景	jko
晴	qko
晶	jko
暇	xxo
暑	uuo
暖	nro
暗	ano
暫	zjo
暮	muc
暴	bco
曇	tjo
曜	yco
曲	qua
更	gga
書	uuv
替	tio
最	zvo
会	hvr
会	kkr
月	ytp
有	yzu
服	fuo
朕	vfo
朗	lhd
望	whw
朝	vcu
朝	icu
期	qiq
木	mua
未	wwa
末	moa
本	bfa
札	vam
朱	vup
机	jim
朽	xqm
材	cdm
村	cym
束	uua
杯	bwm
東	dsa
松	ssm
板	bjm
析	xim
林	lbm
枚	mww
果	goa
枝	vim
枯	kum
架	jxm
柄	bkm
某	mzc
染	rjm
柔	rzs
柱	vum
柳	lqm
校	xnm
校	jnm
株	vum
核	hum
核	hem
根	gfm
格	gem
栽	zdm
桃	tcm
案	anb
桑	shy
梅	mwm
条	tnw
械	xpm
棄	qiw
棋	qim
棒	bhm
森	sfm
棺	grm
植	vim
業	yea
極	jim
楓	fgm
構	gzm
概	gdm
楼	lzm
標	bnm
枢	uum
模	mum
模	mom
樹	uum
橋	qnm
機	jim
横	hgm
欄	ljm
桐	tsm
次	cid
欲	yub
欺	qiq
款	kru
歌	ged
欧	ouk
止	via
正	vga
武	wuv
死	sid
殉	xyd
殊	uud
殖	vid
残	cjd
段	drp
殺	uax
殿	dmu
殴	ouk
母	muv
毒	duf
比	bia
毛	mcp
氏	uip
民	mbv
水	uva
永	ysd
求	qqa
汗	hjd
江	jld
池	iid
決	jtd
汽	qid
沈	ufd
没	mwd
没	mod
淵	yrd
渚	vud
洲	vzd
河	hed
沸	fwd
油	yzd
治	vid
沼	vcd
沿	yjd
況	kld
泉	qrb
泊	bod
泌	mid
泌	bid
法	fad
波	bod
泣	qid
注	vud
泰	tdf
泳	ysd
洋	yhd
洗	xid
津	jbd
活	hod
派	pdd
流	lqd
浦	pud
浪	lhd
浮	fud
浴	yud
海	hdd
浸	jbd
消	xnd
液	yed
涼	lld
淑	uud
淡	djd
深	ufd
混	hyd
清	qkd
浅	qmd
添	tmd
減	jmd
渡	dud
測	ced
港	ghd
湖	hud
湯	thd
源	yrd
準	vyd
温	wfd
溶	rsd
滅	mpa
滋	zid
滑	hxd
滞	vid
滴	did
漁	yud
漂	pnd
漆	qid
漏	lzd
演	yjd
漢	hjd
漫	mjd
漸	jmd
潔	jpd
潜	qmd
潤	ryd
潮	icd
澄	igd
澄	dgd
激	jid
濁	vod
濃	nsd
湿	uid
濫	ljd
浜	bhd
湾	wjd
火	hod
灰	hvu
災	zdb
炊	ivh
炎	yjh
炭	tje
烈	lph
無	wua
無	moa
焦	jnh
然	rjh
煮	vuh
煙	yjh
照	vch
煩	fjh
熟	uzh
熟	uuh
熱	reh
燃	rjh
燈	dgh
燥	zch
爆	bch
炉	luh
争	vgd
為	wwl
爵	jtv
父	fub
片	pmp
版	bjp
牛	nqp
牧	muw
物	wun
牲	ugn
特	ten
犬	qrd
犯	fjq
状	vld
狂	klq
狩	uzq
狭	xxq
猛	mgq
猶	yzq
獄	yuq
独	duq
獲	hoc
献	xmu
玄	xrw
率	ukw
率	lvw
玉	yuw
王	wha
珍	vfw
珠	vuw
班	bjd
現	xmw
球	qqw
理	liw
琴	qbw
環	hrw
璽	xid
甘	gjc
用	ysp
田	tmk
由	yza
由	yza
甲	jxa
申	ufa
男	njt
町	tkt
町	dkt
界	jpt
畑	tmh
畔	pjt
留	lqt
畜	xuw
畜	iuw
畝	muw
略	ltt
番	pjp
番	fjp
画	hxa
異	yiv
当	dhx
疑	yip
疫	yib
疲	pib
疾	jib
病	bkb
症	vgb
痘	dzb
痛	tsb
痢	lib
痴	iib
療	lnb
癖	pib
登	dgd
白	bdp
百	bda
的	deb
的	dib
皆	jpb
皇	hlb
皮	piv
盆	pfm
益	yim
盛	ugm
盛	igm
盗	dcm
盟	mgm
尽	jbu
監	jmm
盤	pjm
目	muk
盲	mhw
直	viu
相	xlm
盾	dyp
省	xkx
省	ugx
看	kju
真	vfu
眠	mmo
眼	yjo
睡	uvo
督	duo
瞬	uyo
矛	mcs
矢	uir
知	viu
短	dru
石	uia
石	dja
砂	uau
砲	pci
破	pou
研	yju
硝	xnu
硫	lqu
硬	yku
碁	qiq
碑	bwu
確	qtu
磁	ciu
礁	jnu
礎	iuu
示	uie
社	uep
祈	qip
祉	vip
秘	mih
秘	bih
祖	zup
祝	vup
神	ufp
祥	xlp
票	pnx
祭	jip
禁	jbm
禍	hop
福	fup
禅	ujp
禅	ijp
礼	lip
秀	xqh
私	sih
秋	qqh
科	keh
秒	mnh
租	zuh
秩	vih
移	yih
税	uvh
程	igh
稚	vih
種	vsh
種	ish
称	igh
称	ifh
稿	gch
積	jih
穴	xtb
究	jqb
空	ksb
突	tub
窒	vib
窮	qsb
窯	ycb
窃	qpb
立	lil
並	bkq
章	vhl
童	tsl
端	drl
競	jkl
竹	vup
笑	xnv
笛	div
符	fuv
第	div
筆	biv
等	dgv
筋	jbv
筒	tsv
答	dav
策	cev
算	srv
管	grv
箱	xlv
節	jpc
範	fjc
築	vuv
篤	duv
簡	jmv
簿	buv
籍	jiv
米	mib
粉	ffm
粒	lim
粗	cum
粘	vjm
粘	nmm
精	jkm
糖	thm
糧	llm
系	xip
系	jip
糾	jqs
紀	jis
約	yt
約	yc
紅	hss
紋	wfs
納	nas
純	iys
紙	vis
級	jis
紛	ffs
素	suf
紡	fhs
索	sou
紫	zis
累	lwt
細	xis
紳	ufs
紹	ucs
紺	gjs
終	vss
組	zus
結	jps
絞	jns
絡	los
絡	lcs
給	gws
給	jis
統	tss
糸	miv
絹	jrs
維	wws
綱	ghs
網	whk
綿	mms
緊	jbs
緒	xus
線	xms
締	dis
綾	lks
編	bms
緩	hrs
緯	wws
練	lms
縛	fus
縫	fgs
縮	sos
績	jis
繁	fjs
織	vis
繕	ujs
繭	jmc
繰	scs
繰	qns
欠	qmd
罪	zvs
置	vis
罰	fas
署	uus
罷	pis
罷	bas
羊	yhb
美	mwy
着	vey
着	voy
着	vcy
群	qyv
義	yix
羽	yug
翁	wgb
翌	yiy
習	xig
翼	yiy
老	lct
考	kct
者	vet
耐	nda
耕	ggl
耗	hcl
耳	era
聖	ugt
聞	wfm
声	ugu
職	vie
肉	rza
肖	xnx
肝	gjo
肥	fwo
肩	jmh
肪	fho
肯	kfv
育	yuw
肺	fwo
胃	wwt
背	bwo
胎	tdo
胞	bco
胴	dso
胸	xso
能	ngs
脂	vio
脅	xpo
脈	moo
脈	mdo
脚	jno
脱	too
脹	vho
腐	fug
腕	wjo
腰	yco
腸	iho
腹	fuo
膚	fuo
膜	moo
膨	pgo
胆	djo
臣	ifk
臨	lba
自	zip
臭	xqp
臭	izp
至	vit
致	viw
台	tds
与	yua
興	xkx
旧	jqa
舌	uep
舞	wur
舟	vzp
航	hhv
般	bjv
舶	bov
船	irv
艇	tkv
艦	jmv
良	lld
色	sed
色	udd
茅	mcc
芋	yuc
芝	vic
花	hxc
芳	fhc
蒼	chc
芽	yac
苗	mnc
若	roc
苦	kuc
英	ykc
藍	ljc
茂	mcc
茶	iac
草	ccc
荒	hlc
荷	hec
茎	jkc
菊	juc
菌	jyc
菜	cdc
華	hxu
万	wja
落	loc
落	lcc
落	lac
葉	yek
葉	xpk
著	vuc
著	vuy
著	voc
著	voy
著	vec
著	vey
著	vcc
著	vcy
葬	zhc
蒸	vgc
蓄	xuc
薄	boc
薄	bcc
薦	jmc
薪	xbc
芸	yyc
藩	fjc
虐	nth
虚	xuh
虜	luh
虞	yuh
号	hck
蚊	wfi
融	rsa
虫	isa
蚕	cja
蛮	mjw
血	xtp
血	xpp
行	xkr
行	hhr
術	uum
街	jpr
衝	isd
衛	wwe
衡	hgr
衣	yiw
表	bnf
衰	ukw
衷	vsw
袋	ddy
被	bwp
被	pip
裁	cdy
裂	lpy
裕	yup
補	bup
装	vly
裸	lop
襲	xil
西	xia
要	ycx
覆	fux
見	jmk
規	gva
視	uip
親	qbl
親	qkl
角	jtd
角	jnd
解	jpj
解	xpj
触	iuj
言	yjw
訂	dky
計	jiy
討	tcy
訓	xyy
託	tof
託	toy
記	jiy
訟	ssy
訪	fhy
設	uey
許	xuy
訴	suy
診	vfy
詐	vay
詔	vcy
評	pky
詞	ciy
詠	ysk
試	uiy
詩	uiy
詰	jpy
詰	jiy
話	hxy
該	gdy
詳	xly
誇	kxd
認	rfy
誓	uiy
諾	noy
誕	djy
誘	yzy
語	yuy
誠	igy
誤	wuy
課	key
調	tny
調	dny
談	tjy
請	qky
論	lyy
諭	yuy
諮	zik
諮	ziy
諸	vuy
謀	mzy
謁	yey
謄	tgb
謙	qmy
講	jly
謝	xpy
謹	jby
識	viy
識	uiy
譜	puy
警	jky
議	yiy
護	huf
誉	yux
谷	gub
豆	dza
豚	tyo
象	xld
豪	hcw
予	yus
貝	bwk
貞	vfb
負	fub
財	cdb
貢	gsb
貧	pbb
貨	hob
販	fjb
貫	grb
責	zeb
貯	vub
貴	gvb
買	mdv
貸	ddb
費	fwb
貿	mcb
賀	heb
賃	lbb
賄	hvb
資	zib
賊	zwb
賓	bbb
賜	cib
賞	uhb
賠	pwb
賢	xmb
賦	fub
質	vip
購	gzb
贈	zgb
赤	iit
赦	uew
走	zzt
赴	fuz
起	qiz
超	icz
越	ytz
趣	quz
足	zuk
距	juz
跡	jiz
路	luz
跳	tnz
踊	ysz
踏	taz
践	jmz
躍	ytz
身	ufp
車	jua
車	iea
軌	gvi
軍	jyb
軒	xri
軟	rri
軸	vzi
較	jni
載	zdi
輝	hvg
輩	bwi
輪	lyi
輸	uui
轄	xxi
辛	xbl
弁	bms
辞	cip
辱	rui
農	nsd
迅	xyz
迎	ykz
近	jbz
返	fjz
迫	poz
迫	pdz
迭	dpz
述	uuz
迷	miz
追	vvz
退	tvz
送	ssz
逃	tcz
逆	niz
透	tzz
逐	vuz
途	tuz
通	tsz
速	suz
造	zcz
連	lmz
逮	ddz
進	jbz
逸	yiz
遂	svz
遇	yuz
遊	yzd
運	yyz
遍	bmz
過	goz
道	dcz
達	daz
違	wwz
遠	yrz
遣	qmz
適	uiz
遭	zcz
遵	zyz
遷	qmz
選	xrz
遺	yiz
避	biz
還	hrz
還	hdz
邦	bhe
邪	yee
邪	xpe
邸	die
郊	jne
郎	lhe
郡	jye
部	bue
郭	goe
郵	yze
都	dze
都	due
配	pwy
酒	jqd
酢	zoy
酢	cuy
酬	izy
酪	lcy
酵	jny
酷	kuy
酸	sry
醜	izv
医	yik
重	vsp
重	isp
量	llo
金	jbr
針	vfj
鈍	dyj
鈴	lkj
鉛	qmj
銀	ybj
銃	isj
銅	tsj
銑	xmj
銑	xij
銘	mkj
鋼	ghj
錘	ivj
錠	dkj
錯	coj
鍛	drj
鎖	soj
鎮	vfj
鏡	jkj
鑑	jmj
長	vhp
長	ihp
門	mfd
閉	bim
開	kda
間	jmm
閣	gem
閥	fam
防	fhe
阻	zue
附	fue
降	xle
降	jle
限	xme
陛	bie
院	yre
陣	vfe
除	iue
陪	pwe
陰	ybe
陳	ife
陵	lke
陶	tce
陸	lue
陸	lqe
陽	yhe
隆	lse
隊	dve
階	jpe
隔	gee
際	jie
障	vhe
随	sve
雄	xsu
雅	yaa
集	jim
雇	guh
雌	civ
双	uly
離	liw
難	njy
雨	yua
雪	xty
雲	yye
零	lky
雷	lwy
電	dma
需	xuy
震	vfy
霜	uly
霧	wuy
露	lzy
露	luy
青	qkf
静	jkf
非	fwa
面	mma
革	gec
音	ybl
韻	yyl
響	xlk
頂	dkd
項	xlg
順	uyp
預	yus
頒	bjb
領	lkr
頭	tzd
題	tio
額	eeb
願	yri
類	lwm
顧	gui
風	fgj
飛	fwv
翻	fjp
食	yir
食	uir
食	sir
飢	jiu
飲	ybu
飯	fju
飼	siu
飽	bcu
飾	uiu
養	yhy
餓	eeu
余	yur
館	gru
首	uzq
香	xlh
馬	mav
駐	vum
騎	qim
騰	tgo
驚	jkx
骨	guk
体	tir
高	gcw
鬼	gvp
魂	hye
魅	mwg
魔	mog
魚	yud
鮮	xma
鯨	jka
鳥	nnn
鳥	dnn
鳴	mkn
麗	lia
麦	mdf
麻	mag
黄	hlc
点	dmh
党	dhx
鼓	guu
鼻	bip
猿	yrq
凹	waa
凹	aoa
渦	wod
渦	god
靴	xtg
稼	jxh
拐	gkf
涯	yad
垣	yrt
潟	xi
喝	hek
褐	hep
缶	fzr
頑	wje
挟	xpf
挟	jxf
矯	jnu
襟	jbp
隅	yue
嫌	xmn
洪	hsd
溝	gzd
昆	kyo
崎	qie
皿	mbk
傘	sjr
肢	vio
遮	vez
蛇	uei
酌	voy
汁	vid
塾	uut
尚	uhx
宵	xnb
唇	iyi
甚	ufq
据	juf
杉	ujm
杉	uam
逝	uiz
仙	xmr
栓	urm
曹	cca
槽	ccm
藻	zcc
濯	vod
棚	pgm
挑	tnf
眺	tno
釣	dnj
漬	zid
亭	tkw
偵	vfr
泥	nid
搭	daf
棟	dsm
洞	dsd
凸	tua
屯	vya
屯	tya
把	baf
漠	mod
肌	jio
鉢	boj
披	pif
扉	fwh
猫	mcq
頻	pbv
瓶	pkq
泡	pcd
俸	fgr
褒	bcw
朴	pum
朴	pom
朴	pnm
僕	pur
堀	kut
磨	mog
抹	mof
抹	maf
岬	jxe
妄	whw
厄	eei
悠	yzx
羅	los
挨	aif
曖	aio
宛	yrb
宛	wjb
嵐	lje
畏	wwt
萎	wwc
椅	yim
茨	cic
咽	yjk
咽	yek
淫	ybd
唄	bwk
唄	bdk
鬱	yue
怨	yrx
媛	yrn
旺	who
臆	yio
俺	anr
苛	kec
牙	yaa
瓦	waa
楷	kdm
楷	jpm
潰	kvd
諧	xpy
崖	yae
蓋	gdm
骸	hdg
柿	uim
顎	eek
葛	gec
釜	fuf
韓	hju
玩	wjw
伎	jir
毀	hvp
畿	jiv
臼	jqp
嗅	xqk
巾	jba
僅	jbr
錦	jbj
惧	jux
串	ira
窟	kub
熊	xsh
詣	yiy
憬	jkx
稽	jih
隙	xie
桁	hhm
桁	hgm
拳	qrb
鍵	jmj
舷	xmv
股	guo
虎	huh
錮	guj
勾	gzg
梗	ggm
喉	hzk
乞	qir
傲	aor
駒	jum
頃	qka
痕	hfb
沙	uad
挫	cof
采	cdv
塞	seb
塞	sdb
埼	qi
柵	vam
柵	ujm
柵	cem
刹	uad
刹	iad
拶	zjf
拶	zaf
斬	vji
恣	zix
摯	viu
餌	eru
鹿	lug
叱	iik
嫉	jin
腫	vso
呪	vzk
袖	xqp
羞	xqy
蹴	cuz
憧	isx
拭	uif
尻	kcu
芯	xbc
腎	ufo
須	xup
裾	jup
凄	qid
醒	xky
脊	jid
戚	qig
煎	jmh
羨	xmy
腺	xmo
詮	qry
箋	jmv
膳	ujo
狙	juq
爽	uld
踪	zsz
捉	vof
遜	xyz
汰	tdd
唾	tok
堆	dvt
戴	ddt
誰	uwy
誰	uvy
旦	djo
綻	vjs
酎	vzy
貼	tpb
嘲	vck
嘲	ick
椎	vvm
椎	ivm
爪	vxp
爪	vcp
鶴	hen
諦	diy
溺	nnd
溺	nid
賭	dub
藤	tgc
瞳	tso
頓	dya
貪	tjb
奈	ndd
梨	lim
謎	miy
鍋	goj
虹	hsi
捻	nmf
罵	mam
剝	bod
剝	bcd
箸	vuv
氾	fjd
阪	bje
阪	bjt
斑	bjw
眉	mwv
膝	xio
肘	vzo
訃	fuy
阜	fup
蔽	bic
餅	bku
璧	biw
蔑	mpc
哺	buk
蜂	fgi
貌	mcv
頰	jxa
睦	muo
勃	bwu
勃	bou
昧	mwo
枕	vfm
蜜	mib
冥	mkb
冶	yed
弥	mig
湧	ysd
妖	ycn
瘍	yhb
沃	wod
拉	laf
辣	lal
璃	liw
慄	lix
侶	lvr
瞭	lno
呂	lvk
賂	lub
弄	nsw
籠	lsv
麓	lul
亜	yaa
仏	for
併	bkr
値	vir
仮	jxr
伝	irr
働	dsr
価	jxr
倹	jmr
児	era
両	lla
剰	ugd
剤	jid
剣	jmd
効	xnl
勅	cil
労	lcx
勲   xyh
勧	qrl
匁	llg
巻	jrb
呉	wuk
啓	qik
単	djx
厳	yjx
圏	qrk
囲	wwk
円	yra
円	yen
図	tuk
団	trk
増	zgt
圧	yai
塁	lwt
壊	hkt
壱	yiu
奨	jld
姉	zin
姫	jin
娯	yun
嬢	nln
実	uig
寛	krb
専	vrc
対	dvd
峠	qxe
巣	ccx
帯	ddc
廃	fwg
広	glg
庁	tkg
弾	djg
彫	dnp
従	tur
徴	vgr
徳	der
恵	hvx
悪	eex
悩	ncx
応	ykg
懐	hkx
戦	vjg
戯	xig
戸	hua
払	fuf
抜	bof
拝	pdf
捨	uef
掲	qpf
揺	ycf
捜	szf
択	zef
撃	jiu
拠	juf
拠	iuf
挙	jux
拡	klf
摂	uef
収	uzy
晩	wjo
暦	lii
暁	xno
査	iam
栄	rsx
楽	lwm
様	yhm
検	jmm
桜	ykm
権	qrm
歓	hrq
歩	buv
歳	svv
歴	lii
帰	gva
毎	mwr
気	qiq
氷	bkd
汚	wud
沖	isd
渉	ued
涙	lwd
浄	jkd
渇	ked
満	mjd
渋	sed
沢	zed
済	jid
滝	lsd
瀬	ldd
焼	ych
営	ykx
犠	xin
猟	lpq
獣	uzq
産	ijl
畳	tpt
疎	uuv
発	fav
砕	svu
稲	dch
穀	guu
穂	svh
穏	wfh
穫	hoh
窓	ilb
箇	gev
粧	vlm
粋	tvm
絶	jts
経	jks
緑	lvs
縁	yrv
県	xmj
縦	zss
総	zss
絵	hvs
継	jis
続	xus
繊	vis
聴	tka
粛	xuv
脳	nco
臓	zho
舎	uer
舗	pur
荘	vlc
菓	goc
薫	xyc
蔵	chc
薬	ycc
処	iuw
衆	vlx
裏	liw
製	viy
複	fup
覚	jtx
覧	ljk
観	grj
誌	viy
説	uoy
謡	ycy
証	vgy
訳	yiy
読	duy
変	bmw
譲	rjy
豊	fga
弐	era
売	mdu
頼	lda
賛	zjb
軽	qki
転	vri
込	yuz
込	ruz
週	vzz
逓	diz
遅	iiz
辺	bmz
郷	xlv
酔	zvy
醸	nly
釈	uip
鋭	rvj
録	luj
銭	qmj
錬	lmj
鐘	vsj
鉄	tpj
鋳	vuj
鉱	glj
閑	xmm
閲	yrm
関	grm
陥	xme
隣	lbe
険	xme
隠	ybe
隷	liu
隻	vir
雑	zaj
霊	lky
顔	yjl
顕	xmo
騒	scm
駆	qum
験	yjm
駅	yim
髄	svg
髪	faa
闘	ium
鶏	jip
塩	yjt
黒	hwa
黙	moh
斎	vdw
歯	iiv
齢	lkv
殻	keu
渓	xid
蛍	ykx
桟	vjm
縄	ugs
壌	rht
斉	qiw
挿	iaf
駄	tdm
塚	vst
覇	bax
雰	ffq
